Date,AAPL,ABBV,ACN,ADBE,ADI,ADSK,AEP,AMD,AMGN,AMP,AMZN,AON,AOS,AVGO,AXP,BAC,BIIB,BKNG,BLK,BMY,C,CAT,CB,CDNS,CHD,CI,CL,COP,COST,CRM,CSCO,CVX,D,DE,DG,DHR,DLTR,DUK,ED,EIX,ELV,EMR,EOG,ETN,EXC,FANG,FAST,FTNT,GE,GILD,GOOGL,GS,HAL,HCA,HD,HON,IBM,ICE,IDXX,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMI,KO,KR,LIN,LLY,LMT,LOW,MA,MCD,MDT,META,MMC,MNST,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NOW,NVDA,OKE,ORCL,PANW,PCAR,PEG,PEP,PFE,PG,PH,PM,PSX,QCOM,REGN,ROK,ROP,ROST,RTX,SBUX,SCHW,SLB,SNPS,SO,SPGI,SYY,TFC,TGT,TMO,TSLA,TXN,UNH,UNP,V,VRTX,WEC,WMB,WMT,XEL,XOM,XYL,ZBH,ZM
2021-01-04,133.59,108.5,262.5,502.0,148.43,306.8,83.37,92.01,231.0,195.3,164.2475,211.26,54.82,44.19,121.7,30.54,246.5,2281.21,732.5,62.8,61.95,183.0,152.44,137.11,88.0,209.14,85.66,40.8,377.03,224.75,44.56,85.86,75.25,273.0,210.15,224.1,108.69,91.56,72.4,62.82,,80.58,51.36,121.0,42.42,48.85,24.5582,29.8,54.4272,58.18,88.3475,268.0,19.06,163.36,266.26,213.49,120.5927,115.6,503.57,49.6,380.61,275.28,206.0002,158.3,127.93,34.9,13.75,54.9,31.75,267.17,168.9,355.53,161.05,357.0,215.21,117.89,273.7,116.83,46.25,41.7,82.33,69.55,223.01,76.18,78.33,536.0,558.1,13.1375,38.38,65.0,59.1667,57.7867,58.3,148.8,37.08,140.4,273.51,83.05,70.77,153.95,484.0002,251.89,429.92,122.81,71.75,107.46,53.22,22.29,260.17,61.43,330.82,74.76,48.1,176.56,471.0,241.75,164.79,353.5,210.5,220.0,237.52,91.88,20.3,48.1,66.68,42.03,102.03,155.6,341.0
2021-01-05,130.09,105.98,256.4,483.0,145.55,297.84,81.1712,93.03,226.75,188.11,159.5245,205.1,53.64,42.613,118.11,30.17,243.71,2164.0,717.8,61.7,60.44,182.13,149.99,138.0,86.5,205.53,84.33,39.8,378.09,221.16,43.78,85.37,73.5409,266.84,209.71,222.25,106.31,90.08,70.7,60.67,,78.18,50.9022,118.32,41.02,49.52,23.77,28.34,52.2336,60.08,85.85,263.8,18.8,162.59,263.66,206.5055,118.5468,113.0,488.91,49.45,370.44,264.63,202.56,157.05,125.61,34.33,13.58,52.97,32.0124,257.18,165.19,347.0,159.4201,351.49,210.5,115.92,268.72,113.93,45.005,40.75,81.0,68.65,217.72,76.48,74.55,525.12,524.7,13.1628,37.84,63.5,57.3333,56.5333,55.71,143.75,36.8,138.2,265.32,80.61,69.75,149.66,480.01,246.21,419.98,117.14,68.35,103.2,52.52,22.14,254.5,59.49,331.78,72.55,46.6,177.63,473.37,243.6867,162.32,348.28,202.9,217.25,227.25,90.39,20.1,48.9133,65.6,41.75,99.5,153.1,358.31
2021-01-06,128.01,106.0,260.0,476.7,147.87,295.67,80.98,91.33,226.3,191.56,157.1,205.27,54.69,41.934,120.11,31.0,243.83,2180.0,713.94,61.2,63.2,186.6,153.78,133.0,85.53,202.22,84.93,42.58,368.23,219.0,42.87,88.7,73.9999,276.0,206.75,226.57,106.38,89.95,70.0,61.17,,80.26,54.79,121.99,40.63,55.03,24.29,27.97,53.9288,59.17,85.0,274.2,20.46,168.25,267.0,210.7,120.3633,113.9,494.0,49.32,360.16,265.29,206.02,157.43,128.45,33.7,14.1,52.05,31.91,262.32,164.01,346.0,160.5,347.66,211.94,116.7,262.17,112.95,44.7,42.85,80.95,70.69,213.06,75.7,76.4,509.9,524.0,13.09,39.48,62.43,57.7667,56.8333,55.0,143.75,36.96,138.48,272.8,82.6,73.69,149.55,477.0,249.25,418.53,114.83,69.42,103.0,53.99,23.53,255.0,60.0,327.06,72.5,48.34,180.01,471.99,250.02,159.86,339.46,204.57,213.61,226.71,89.86,20.67,48.5833,64.32,44.29,101.25,153.77,350.85
2021-01-07,127.85,106.8,261.0,469.98,150.37,305.45,82.28,90.88,232.32,200.0,157.8695,206.88,56.72,43.02,123.9,32.51,248.0,2278.15,760.0,61.85,65.97,195.45,157.95,132.14,85.89,212.0,82.99,43.65,372.55,217.67,44.28,90.12,74.56,292.9,216.0619,236.14,112.99,91.1,71.41,62.65,,82.69,55.45,127.5,42.37,56.63,24.63,27.826,56.8688,61.22,86.825,286.65,20.84,171.04,267.86,212.54,123.6807,116.4,483.49,51.06,363.38,266.29,209.66,160.3,132.98,34.06,14.5,50.77,32.08,269.28,164.35,348.98,163.6099,351.9066,213.19,118.88,264.04,113.5,45.425,43.19,82.28,74.21,213.8,78.0,80.33,503.29,512.52,12.786,40.03,63.12,58.305,59.2467,56.95,143.59,37.05,140.65,284.59,83.0,72.0,151.51,472.94,261.37,423.46,122.69,70.32,105.3,57.69,24.6,251.67,61.2,329.88,75.94,50.04,189.0,485.31,260.0667,164.5,359.94,211.95,212.83,226.7,91.28,21.5,49.1667,66.57,44.85,104.98,160.33,348.06
2021-01-08,132.05,106.8,265.2,479.2,156.33,317.0,79.8,95.52,234.02,201.36,158.578,206.0,57.1,44.406,121.68,33.0,251.87,2256.34,757.51,62.2,66.86,195.0,156.63,137.42,84.5,220.57,82.2,44.69,368.7,219.0,44.69,90.73,73.16,300.5,218.5,241.04,114.8,90.1,70.25,62.19,,82.57,58.8,129.8,41.96,58.86,24.825,29.0,56.3704,62.5,88.6,293.79,20.4,174.0,267.32,214.44,123.566,116.63,498.26,51.94,369.02,268.35,210.94,161.1,136.2,33.78,14.88,50.22,31.99,271.04,166.22,343.25,163.81,352.2,212.75,118.6,269.4,111.84,47.07,44.17,84.0,76.17,218.3,80.99,79.29,511.0,512.99,13.3498,40.81,63.35,60.55,59.0867,55.0806,142.27,37.24,139.55,281.4,83.65,73.0,155.67,484.57,260.73,431.6,122.36,69.86,104.19,56.49,25.11,260.11,61.15,331.2,75.03,51.52,191.8442,504.37,283.7167,169.0,365.78,214.45,214.67,233.61,88.4,21.65,49.1333,65.1,45.17,107.0,160.62,342.47
2021-01-11,131.3,107.3,265.21,483.99,155.76,317.43,79.6,94.09,238.0,199.22,158.25,204.64,56.04,44.061,120.25,32.18,253.0,2252.43,764.2,62.6,64.8,193.03,154.0,135.19,84.89,219.74,81.74,44.25,369.49,218.5,45.08,89.89,72.8,292.0,215.0,243.49,113.0,90.0,69.9,62.18,,81.5,57.97,123.0101,42.01,56.11,25.375,29.8,55.7728,62.71,89.2758,287.79,20.06,170.58,268.52,207.4,122.6195,117.67,509.0,51.2,376.3,271.8967,207.1,160.19,134.15,33.5,14.39,50.69,31.58,263.69,167.9,336.0,164.1,352.0,214.5101,118.01,263.1,113.82,47.25,42.87,83.03,74.61,219.13,76.9,81.0,508.22,530.0,13.4748,39.81,63.25,60.5,58.0733,57.04,143.8,37.05,138.001,277.17,82.5,69.81,155.64,502.0,261.81,426.82,121.32,69.25,105.3,58.91,24.6,260.85,61.0,324.76,76.8,50.75,193.59,511.67,286.9967,170.36,359.28,218.47,214.21,237.49,87.83,21.39,48.99,65.68,45.38,106.72,157.46,345.0
2021-01-12,129.6,110.7,260.35,476.08,160.04,319.0,78.27,98.18,238.1,202.09,156.25,201.63,56.88,44.84,121.44,33.48,267.02,2221.27,768.0,65.7,67.36,194.46,154.57,135.22,84.83,219.58,82.83,46.0,364.07,218.64,45.3,92.54,73.38,296.12,215.0,244.57,112.51,89.96,69.07,61.58,,82.62,59.98,126.74,41.88,58.3,25.22,30.02,57.0688,62.65,87.975,295.04,20.67,171.04,272.04,208.49,123.26,118.6,508.68,51.83,374.0,270.45,209.82,159.62,139.0,32.95,14.88,50.32,31.85,265.72,185.78,339.0,167.02,348.3,214.76,119.24,258.31,112.47,46.54,43.98,85.1,76.77,217.56,78.92,80.0,500.9,520.98,13.775,41.52,63.2,61.0033,58.8133,56.95,142.1,37.79,138.28,284.87,82.05,72.7,157.81,505.18,262.52,437.39,120.84,69.96,105.7,60.51,25.26,260.43,61.22,319.75,76.83,51.5,197.1,513.0,278.3333,171.67,359.01,217.6,213.7,235.1,87.0,21.65,49.7267,64.39,47.26,106.24,158.36,339.8
2021-02-01,134.53,104.85,245.04,462.44,148.59,279.8,81.01,87.0,242.75,199.82,162.65,203.1,54.98,45.402,117.34,29.9,283.0,1989.74,709.5,61.99,58.76,184.56,147.01,131.4,85.2,217.05,78.75,40.6,353.01,227.4,44.69,86.8,73.0,288.8,195.0,239.5,102.3,94.01,70.78,58.16,,80.25,51.47,117.05,41.61,58.2248,22.85,29.126,53.8288,66.01,92.105,273.5,18.37,164.21,272.23,195.52,114.7801,111.54,482.99,56.02,364.15,251.05,196.61,165.5,129.88,33.55,14.13,48.51,34.7,248.0,209.11,325.69,167.0,319.14,209.5,112.6,261.6,110.02,43.685,43.2,78.0,68.1,234.53,78.9,82.2,534.5,546.47,13.0815,40.97,60.83,58.4583,61.3133,56.43,137.56,36.22,129.0,267.77,80.25,67.51,157.63,507.0,252.02,395.86,111.29,67.0,97.52,53.0,22.45,257.83,58.92,317.5,71.8,48.32,181.27,517.0,273.33,166.99,336.19,200.0,195.44,231.0,88.61,21.79,46.8333,63.99,45.69,97.78,154.87,371.94
2021-02-02,135.6,103.56,248.79,474.98,154.24,288.0,81.4,88.65,242.66,203.63,169.225,207.05,56.84,47.043,118.25,30.32,282.0,2035.0,718.01,62.5,58.98,186.5,148.04,135.36,83.99,219.92,78.52,41.0,352.5,230.0,45.53,87.51,72.71,294.995,195.0,242.99,101.85,93.16,70.7502,58.56,,84.0,52.34,123.0,42.68,58.79,23.26,30.0,53.8288,65.3,95.9,277.98,18.1,170.08,272.0,196.81,115.6788,113.42,493.5,56.95,375.8,251.22,196.7,163.88,130.74,33.32,14.2,48.8,33.89,252.56,204.57,328.74,164.6,324.3,208.9,112.62,264.59,110.2,44.35,44.9,77.75,68.4,241.23,81.18,82.4,542.0,564.99,13.3813,40.8,61.85,61.1667,62.0,57.46,137.7,35.93,129.45,271.51,79.5,68.46,163.0,513.74,250.0,391.36,113.0,67.5,99.0,53.7,22.6,263.57,59.4,323.99,71.25,49.06,186.0,517.2,284.4067,174.2,336.1654,200.01,200.97,226.05,88.63,21.79,46.6667,63.89,45.61,98.47,155.16,385.1
2021-02-03,135.74,104.5,248.41,488.0,151.95,295.4,82.1,89.07,236.66,204.35,168.4175,209.5,57.4124,47.812,120.81,31.13,277.0,2099.99,730.0,63.53,59.76,193.35,150.6987,135.81,82.93,217.7251,79.3,41.6,356.2199,234.6,45.83,87.56,72.83,303.0,195.68,244.13,104.0,93.97,70.63,59.5,,84.0,51.71,120.393,42.84,58.77,23.175,30.686,56.0216,65.13,102.6105,287.68,18.62,165.7853,272.22,200.0,114.7801,116.99,506.8476,57.9,384.36,253.01,197.56,162.48,134.19,33.25,14.05,49.07,33.22,252.87,198.5,334.93,167.28,333.31,210.15,113.9056,268.01,112.944,45.22,45.25,78.45,71.14,239.84,82.0,83.65,552.0,585.02,13.58,41.21,62.4,65.5,62.6733,58.21,138.35,35.27,129.22,268.4847,79.5,68.6332,166.76,506.25,252.63,395.79,116.31,70.32,100.72,55.02,22.62,270.0,59.6633,330.0,73.0015,50.35,185.6,518.8,291.75,175.75,338.77,205.8497,203.4,219.3,87.67,21.49,47.2933,64.225,45.81,97.0,158.4382,393.2
