Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,BRK-B,UNH,JPM,V,LLY,XOM,MA,AVGO,JNJ,HD,PG,MRK,COST,ABBV,ADBE,PEP,CRM,NFLX,CVX,WMT,ACN,AMD,MCD,KO,BAC,TMO,INTC,LIN,AMGN,TXN,NEE,PFE,HON,MS,UNP,QCOM,PM,GS,NOW,VRTX,BKNG,LOW,RTX,ISRG,LMT,IBM,SBUX,GE,CAT,BLK,DE,ADI,MDT,ORCL,INTU,CSCO,MU,ADSK,PANW,SNPS,CDNS,FTNT,ZM,REGN,BMY,GILD,BIIB,DHR,CI,ELV,ZBH,IDXX,HCA,SCHW,AXP,C,TFC,SPGI,ICE,CB,AON,MMC,AMP,SLB,COP,EOG,PSX,MPC,OKE,WMB,KMI,HAL,FANG,TGT,DG,ROST,DLTR,KHC,SYY,KR,CL,MNST,CHD,ETN,EMR,ROP,PH,ITW,ROK,FAST,PCAR,XYL,AOS,SO,D,DUK,AEP,EXC,PEG,ED,WEC,EIX,XEL
2021-01-04,126.10,209.62,13.08,159.33,85.79,267.47,243.26,228.45,326.36,111.09,210.42,157.29,34.22,342.13,38.39,137.64,236.50,122.46,67.13,360.20,87.37,485.34,126.08,218.40,522.86,70.03,45.73,238.71,92.30,189.73,46.06,26.90,466.43,44.90,243.20,196.61,141.99,66.26,29.35,188.91,58.61,183.72,134.78,65.18,237.75,526.83,229.43,2136.99,147.00,61.25,266.67,304.89,96.87,92.79,51.13,166.11,636.55,252.48,134.81,101.40,59.57,360.88,38.47,72.32,296.84,58.61,254.70,135.76,29.11,359.98,480.80,51.63,50.28,242.95,194.21,190.22,300.85,143.47,491.77,157.22,49.57,111.25,50.61,37.75,320.87,106.88,139.52,197.06,105.90,174.84,20.03,33.36,39.55,58.54,36.13,28.46,15.98,10.25,17.45,39.89,156.55,195.97,111.27,106.94,27.97,64.00,29.04,75.47,45.30,81.90,109.75,70.62,408.39,249.98,183.22,227.05,20.09,47.65,94.58,49.54,49.53,60.67,74.39,68.43,24.81,47.89,59.55,77.08,49.26,56.90
2021-01-05,127.66,209.82,13.37,160.93,86.48,269.49,245.04,227.47,321.97,111.69,207.28,158.07,35.86,338.17,38.65,139.26,238.41,123.25,67.25,356.02,88.27,485.69,126.46,219.60,520.80,71.92,45.48,240.07,92.77,190.87,45.55,27.11,472.27,45.75,247.02,197.56,143.03,66.75,29.65,189.38,59.60,185.97,138.35,65.89,243.07,531.97,228.58,2160.68,147.49,62.14,268.35,308.56,98.59,93.09,52.60,167.46,639.92,258.74,137.22,102.21,58.83,358.13,38.49,75.46,301.70,58.36,258.89,136.14,28.35,360.83,481.39,51.77,50.19,246.39,199.03,188.10,297.57,145.95,497.26,158.54,49.58,111.84,51.92,38.01,316.25,107.11,139.63,196.82,105.17,173.81,21.11,35.27,42.77,60.11,37.32,29.88,16.46,10.51,18.91,43.75,158.97,193.18,111.36,107.13,27.43,64.41,28.83,75.64,45.71,81.16,110.91,71.84,408.03,255.61,183.85,227.60,20.36,48.06,94.47,49.86,49.86,59.94,74.42,68.34,24.78,47.89,58.89,76.83,49.52,56.35
2021-01-06,123.36,204.38,12.58,156.92,85.63,261.87,251.99,230.27,335.48,116.93,205.45,156.17,36.78,338.29,38.41,140.57,239.77,124.54,68.31,350.60,87.51,466.31,124.91,214.27,500.49,74.24,45.77,242.69,90.33,190.44,44.11,28.80,479.67,46.20,255.13,202.32,143.74,70.02,29.40,192.83,63.20,189.86,137.22,65.98,256.19,507.25,226.65,2221.64,149.47,62.91,264.26,307.89,101.05,93.77,55.48,176.78,658.17,273.91,137.84,103.88,58.69,350.49,38.86,75.31,302.87,57.55,249.70,130.64,27.62,344.41,468.08,51.90,51.82,247.75,205.63,193.65,310.05,150.11,483.60,163.87,53.94,115.98,54.91,40.01,316.64,109.18,146.28,199.21,105.89,183.79,22.28,36.68,43.67,59.66,38.08,30.23,17.09,10.85,19.29,45.91,166.51,201.20,116.23,112.97,27.73,67.27,29.11,73.60,45.35,81.28,116.86,74.26,412.14,263.91,188.55,238.18,20.70,49.95,98.45,51.58,51.08,61.22,75.38,68.89,25.59,48.90,60.14,77.80,50.99,57.59
2021-01-07,127.57,210.19,13.31,158.11,88.19,267.27,272.01,232.88,340.86,120.77,206.60,157.60,37.07,340.97,40.03,141.05,238.60,123.38,69.67,348.61,88.44,477.74,124.51,216.09,508.89,74.58,45.76,244.98,95.16,191.32,43.62,29.44,494.62,47.18,254.39,202.99,147.00,70.79,29.55,193.15,64.28,192.50,141.32,66.36,261.66,511.41,232.90,2211.81,150.05,62.46,269.40,303.04,100.81,93.01,55.04,177.12,672.01,282.75,143.67,103.74,59.16,357.90,39.35,77.27,315.20,60.52,258.84,137.05,28.65,342.50,479.15,52.45,52.30,250.44,208.55,203.88,318.61,149.22,495.19,166.79,55.49,115.06,55.55,41.20,316.85,109.25,145.23,199.00,105.74,186.01,22.71,37.68,46.50,60.20,39.16,30.89,17.12,11.04,18.86,46.29,168.43,203.45,115.97,114.75,27.53,67.31,28.76,73.20,46.75,80.29,119.30,74.29,419.68,264.39,188.75,239.09,20.96,49.72,102.92,52.21,51.02,59.90,74.53,67.05,25.33,48.20,58.92,75.27,50.53,56.47
2021-01-08,128.67,211.48,13.24,159.13,89.36,266.11,293.34,234.03,339.33,120.91,208.19,158.15,37.48,344.86,40.24,140.76,241.13,123.33,68.85,350.52,88.91,485.10,126.01,220.11,510.40,75.29,45.76,245.88,94.58,194.83,44.59,29.14,506.45,46.69,254.09,206.87,149.82,72.43,29.61,190.80,64.54,198.02,142.17,66.45,260.25,529.64,237.00,2252.98,151.28,62.53,272.92,297.33,100.45,95.10,55.38,177.15,677.41,277.26,144.71,104.62,59.45,364.14,39.43,75.62,319.85,61.09,262.80,136.19,29.63,349.61,496.60,52.56,52.74,252.54,211.84,204.16,318.32,148.89,513.20,165.53,55.41,115.18,55.01,40.53,314.71,110.96,144.81,197.70,105.87,187.33,22.67,37.68,46.70,59.24,38.29,30.30,16.93,10.95,18.64,46.27,170.63,201.67,116.34,112.97,27.47,69.05,28.58,73.69,47.49,80.76,117.26,74.07,420.19,263.73,188.48,241.18,21.40,49.38,101.88,51.60,51.38,60.10,74.67,66.45,25.44,49.24,58.94,75.01,50.73,56.99
2021-01-11,125.68,209.42,13.58,155.71,87.29,255.44,270.40,233.43,336.86,122.71,205.72,176.71,38.62,339.36,40.25,140.17,243.05,122.49,70.48,344.90,90.36,474.24,124.18,216.35,499.10,75.72,45.96,242.33,97.25,193.35,43.83,29.62,507.49,46.59,251.40,206.07,149.95,71.15,30.12,189.28,65.24,196.69,141.69,65.83,263.62,523.06,234.64,2193.46,152.44,62.48,271.22,298.73,100.49,94.14,55.92,176.78,686.57,278.22,146.15,103.57,59.12,362.08,39.70,76.84,317.81,60.80,260.43,134.69,29.63,337.71,500.77,54.65,52.29,267.52,212.39,203.35,319.92,148.94,506.55,164.65,56.60,114.50,55.91,40.76,307.34,110.98,143.62,194.73,105.04,187.35,22.81,38.24,47.28,60.54,38.65,31.29,17.10,11.14,19.06,47.52,172.11,201.15,114.88,112.43,26.84,69.05,28.70,73.51,46.47,80.31,117.33,74.79,427.43,266.89,187.68,241.90,21.29,49.61,100.59,52.28,51.08,59.67,74.04,66.12,25.23,48.96,57.93,74.16,50.22,55.81
2021-01-12,125.50,206.96,13.45,156.04,86.35,249.72,283.15,233.03,333.71,124.64,201.82,169.93,39.48,334.21,40.57,139.08,247.62,121.78,68.90,345.08,90.99,471.65,123.60,213.65,494.25,77.16,46.49,240.52,95.36,190.98,43.75,30.15,493.08,48.13,250.54,205.22,150.81,71.20,29.65,189.76,65.01,197.86,140.18,64.83,271.14,513.21,229.38,2168.84,154.89,64.02,262.81,302.42,100.99,92.53,57.53,180.14,696.48,284.98,146.88,102.51,58.55,355.59,40.07,77.61,320.13,61.75,258.58,133.72,30.58,356.81,503.59,55.03,51.93,267.39,209.40,208.25,316.15,149.72,496.73,165.49,57.50,115.03,56.10,41.81,304.13,111.18,145.93,195.06,105.43,190.12,23.86,39.97,49.53,61.77,40.41,33.02,17.83,11.50,20.51,51.25,175.48,204.07,115.15,114.18,26.29,69.78,28.48,73.61,46.99,79.32,118.61,76.01,419.11,270.40,188.82,244.55,21.77,50.31,100.41,54.00,49.08,58.73,73.74,65.33,25.36,49.28,57.24,72.72,50.91,54.94
2021-01-13,127.54,208.32,13.50,158.29,86.84,250.27,284.80,234.51,331.53,124.76,202.29,176.29,39.92,337.53,40.74,138.87,245.58,121.97,68.28,347.69,93.20,472.05,124.62,216.28,507.79,77.09,46.01,240.11,91.78,191.42,43.79,29.97,495.98,51.48,251.59,206.22,150.03,73.07,29.39,188.07,64.81,196.02,142.88,64.95,271.79,521.71,227.10,2155.10,155.66,63.11,270.48,305.64,99.20,92.60,56.50,178.64,698.28,284.16,146.32,103.76,58.21,354.90,39.70,78.05,314.33,60.97,257.14,134.12,29.58,364.63,509.71,54.44,51.48,266.67,208.66,206.94,312.04,152.64,497.58,163.79,55.91,115.76,56.26,41.67,300.46,111.16,146.41,199.32,105.87,188.74,23.24,39.65,47.97,60.12,39.30,33.17,17.68,11.57,19.99,50.16,173.47,203.92,113.25,112.47,26.15,67.79,28.91,73.82,45.94,79.89,115.90,74.81,402.70,268.96,186.92,241.74,21.38,50.03,99.82,53.58,49.83,59.31,75.92,65.59,25.80,50.42,58.67,74.93,51.47,56.34
2021-01-14,125.61,205.12,13.16,156.37,86.03,244.30,281.67,235.02,327.32,125.49,195.06,177.43,41.48,318.63,40.82,141.29,240.46,120.67,68.14,343.33,93.60,463.27,123.89,213.73,500.86,78.94,45.86,238.16,90.79,188.18,42.98,30.45,491.24,53.56,247.79,209.62,150.30,73.68,29.30,189.51,65.59,195.62,145.99,64.92,276.21,514.34,226.12,2155.26,156.17,63.50,265.71,307.37,100.80,91.63,56.94,180.01,665.81,285.70,147.22,102.93,57.78,355.44,39.51,79.41,311.11,60.53,257.91,135.40,29.51,383.24,515.70,55.53,52.20,280.29,205.93,204.14,304.57,152.33,488.90,161.67,55.74,117.07,58.07,42.52,294.81,109.07,145.20,199.05,104.48,192.35,23.69,40.35,49.68,62.11,40.36,33.97,18.04,11.82,20.16,50.48,174.52,199.27,111.27,109.97,26.21,67.23,29.95,73.33,45.68,79.92,115.17,75.44,397.10,273.56,185.28,242.04,21.22,50.20,100.12,52.75,49.27,58.31,76.00,66.16,25.66,49.65,57.70,74.08,50.19,55.08
2021-01-15,123.88,204.76,12.82,155.21,85.87,249.99,275.39,233.49,328.04,123.24,194.80,181.30,39.48,315.05,40.25,140.98,246.96,119.76,69.14,343.15,92.67,458.08,123.57,211.29,497.98,76.13,45.14,236.90,88.21,189.45,42.52,29.57,497.40,52.05,242.53,212.94,148.09,73.24,29.26,187.11,64.53,196.02,142.58,64.73,270.06,513.76,225.55,2092.70,157.05,61.94,259.47,307.22,100.34,92.09,55.33,177.48,651.72,278.67,145.64,102.09,57.95,360.79,39.76,78.84,308.51,60.81,258.92,134.64,29.31,384.53,515.72,55.97,52.98,275.84,205.98,202.40,308.26,149.99,489.46,162.15,55.20,115.53,54.05,41.58,294.59,108.66,144.61,200.32,104.34,193.58,22.73,38.04,47.24,60.10,39.00,33.52,17.88,11.71,19.22,48.29,171.69,197.58,111.17,108.34,26.14,67.29,30.45,73.27,45.83,80.61,113.83,74.91,401.20,267.97,183.28,235.46,21.29,49.58,98.20,52.21,49.79,59.18,76.38,67.54,26.13,51.02,58.66,75.64,50.38,56.29
