Date,spy_0915_price
2021-01-05,369.39
2021-01-06,369.3
2021-01-07,375.67
2021-01-08,379.97
2021-01-11,379.3
2021-01-12,379.5
2021-01-13,379.38
2021-01-14,380.69
2021-01-15,377.41
2021-01-19,378.03
2021-01-20,379.48
2021-01-21,384.63
2021-01-22,382.39
2021-01-25,384.4
2021-01-26,384.0
2021-01-27,383.56
2021-01-28,371.13
2021-01-29,374.08
2021-02-01,373.62
2021-02-02,379.47
2021-02-03,382.8
2021-02-04,382.49
2021-02-05,387.1
2021-02-08,388.79
2021-02-09,390.09
2021-02-10,391.58
2021-02-11,390.91
2021-02-12,389.45
2021-02-16,394.6
2021-02-17,392.2
2021-02-18,391.73
2021-02-19,391.09
2021-02-22,387.02
2021-02-23,386.31
2021-02-24,387.43
2021-02-25,391.76
2021-02-26,383.79
2021-03-01,385.14
2021-03-02,386.8
2021-03-03,389.46
2021-03-04,380.31
2021-03-05,374.61
2021-03-08,380.55
2021-03-09,385.55
2021-03-10,387.61
2021-03-11,392.54
2021-03-12,391.39
2021-03-15,395.07
2021-03-16,396.48
2021-03-17,395.7
2021-03-18,395.35
2021-03-19,391.75
2021-03-22,389.18
2021-03-23,391.56
2021-03-24,391.03
2021-03-25,388.15
2021-03-26,390.57
2021-03-29,393.47
2021-03-30,395.12
2021-03-31,394.19
2021-04-01,397.7
2021-04-05,402.29
2021-04-06,405.1
2021-04-07,406.31
2021-04-08,407.89
2021-04-09,408.65
2021-04-12,410.58
2021-04-13,411.72
2021-04-14,413.18
2021-04-15,413.26
2021-04-16,415.58
2021-04-19,416.88
2021-04-20,415.43
2021-04-21,412.46
2021-04-22,415.77
2021-04-23,413.3
2021-04-26,416.78
2021-04-27,417.95
2021-04-28,417.47
2021-04-29,420.05
2021-04-30,418.63
2021-05-03,419.17
2021-05-04,417.31
2021-05-05,416.71
2021-05-06,416.61
2021-05-07,419.18
2021-05-10,422.44
2021-05-11,414.34
2021-05-12,413.37
2021-05-13,403.6
2021-05-14,412.39
2021-05-17,415.57
2021-05-18,417.0
2021-05-19,409.0
2021-05-20,410.45
2021-05-21,415.49
2021-05-24,416.78
2021-05-25,420.35
2021-05-26,419.55
2021-05-27,418.34
2021-05-28,420.96
2021-06-01,421.34
2021-06-02,419.68
2021-06-03,419.54
2021-06-04,419.0
2021-06-07,421.87
2021-06-08,421.95
2021-06-09,422.65
2021-06-10,421.46
2021-06-11,423.6
2021-06-14,424.66
2021-06-15,425.84
2021-06-16,424.1
2021-06-17,420.7
2021-06-18,420.52
2021-06-21,415.64
2021-06-22,420.21
2021-06-23,423.57
2021-06-24,424.29
2021-06-25,425.23
2021-06-28,426.72
2021-06-29,427.35
2021-06-30,427.06
2021-07-01,429.68
2021-07-02,430.76
2021-07-06,433.41
2021-07-07,433.57
2021-07-08,430.8
2021-07-09,431.93
2021-07-12,434.62
2021-07-13,436.59
2021-07-14,434.89
2021-07-15,436.08
2021-07-16,434.55
2021-07-19,429.93
2021-07-20,427.17
2021-07-21,432.92
2021-07-22,435.07
2021-07-23,437.17
2021-07-26,437.29
2021-07-27,439.47
2021-07-28,439.09
2021-07-29,439.46
2021-07-30,437.59
2021-08-02,440.99
2021-08-03,438.87
2021-08-04,440.6
2021-08-05,439.75
2021-08-06,441.45
2021-08-09,441.69
2021-08-10,442.0
2021-08-11,442.06
2021-08-12,443.56
2021-08-13,445.26
2021-08-16,445.19
2021-08-17,445.12
2021-08-18,443.64
2021-08-19,435.54
2021-08-20,437.71
2021-08-23,444.3
2021-08-24,448.26
2021-08-25,448.14
2021-08-26,448.63
2021-08-27,447.63
2021-08-30,450.48
2021-08-31,453.36
2021-09-01,453.34
2021-09-02,452.68
2021-09-03,454.01
2021-09-07,453.45
2021-09-08,449.69
2021-09-09,449.9
2021-09-10,450.6
2021-09-13,447.57
2021-09-14,446.7
2021-09-15,444.87
2021-09-16,447.87
2021-09-17,445.82
2021-09-20,436.56
2021-09-21,438.73
2021-09-22,435.61
2021-09-23,440.81
2021-09-24,441.25
2021-09-27,445.15
2021-09-28,439.29
2021-09-29,436.81
2021-09-30,437.3
2021-10-01,426.54
2021-10-04,432.45
2021-10-05,429.53
2021-10-06,428.63
2021-10-07,437.22
2021-10-08,438.44
2021-10-11,436.61
2021-10-12,432.96
2021-10-13,433.61
2021-10-14,438.11
2021-10-15,444.14
2021-10-18,444.85
2021-10-19,448.61
2021-10-20,450.5
2021-10-21,451.21
2021-10-22,453.27
2021-10-25,453.88
2021-10-26,457.26
2021-10-27,456.62
2021-10-28,454.3
2021-10-29,456.41
2021-11-01,461.09
2021-11-02,459.67
2021-11-03,461.87
2021-11-04,465.24
2021-11-05,467.22
2021-11-08,468.72
2021-11-09,468.96
2021-11-10,466.59
2021-11-11,465.07
2021-11-12,464.2
2021-11-15,468.09
2021-11-16,466.98
2021-11-17,469.34
2021-11-18,469.66
