Date,AAPL,ABBV,ACN,ADBE,ADI,ADSK,AEP,AMD,AMGN,AMP,AMZN,AON,AOS,AVGO,AXP,BAC,BIIB,BKNG,BLK,BMY,BRK-B,BRK.B,C,CAT,CB,CDNS,CHD,CI,CL,COP,COST,CRM,CSCO,CVX,D,DE,DG,DHR,DLTR,DUK,ED,EIX,ELV,EMR,EOG,ETN,EXC,FANG,FAST,FTNT,GE,GILD,GOOGL,GS,HAL,HCA,HD,HON,IBM,ICE,IDXX,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMI,KO,KR,LIN,LLY,LMT,LOW,MA,MCD,MDT,META,MMC,MNST,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NOW,NVDA,OKE,ORCL,PANW,PCAR,PEG,PEP,PFE,PG,PH,PM,PSX,QCOM,REGN,ROK,ROP,ROST,RTX,SBUX,SCHW,SLB,SNPS,SO,SPGI,SYY,TFC,TGT,TMO,TSLA,TXN,UNH,UNP,V,VRTX,WEC,WMB,WMT,XEL,XOM,XYL,ZBH,ZM
2021-01-04,130.25,88.83,244.15,500.3,137.06,304.11,70.51,92.11,200.59,182.1,163.5,204.54,50.5,39.67,114.32,27.29,245.74,2221.83,654.26,51.93,231.73,,52.17,166.88,142.53,136.89,82.56,193.38,75.87,34.42,358.12,220.71,38.78,70.39,61.63,256.41,196.47,195.74,107.63,76.76,61.41,51.11,303.24,73.23,40.26,111.18,25.8,40.23,20.96,29.91,53.18,49.08,87.48,239.55,17.81,156.97,238.37,194.36,99.02,109.33,503.0,45.1,368.69,275.28,188.85,138.29,112.52,28.26,10.5,47.38,28.86,250.63,160.98,314.04,147.36,348.46,193.59,103.28,273.28,108.63,46.26,37.0,68.0,59.83,214.28,74.7,68.93,539.0,556.94,13.07,29.97,60.44,59.23,48.87,49.96,128.48,29.4,124.1,257.01,66.23,59.15,138.87,485.51,232.93,418.48,116.46,64.18,97.53,50.14,20.15,260.0,51.63,319.39,65.62,39.08,157.25,463.69,239.82,145.12,328.18,188.27,213.2,237.91,79.19,16.14,45.14,57.66,34.49,96.8,145.82,340.4
2021-01-05,125.73,87.37,239.85,485.88,134.58,297.84,69.22,92.1,196.85,175.4,158.3,198.93,49.52,38.38,111.46,27.03,243.88,2136.91,634.75,51.4,228.21,,51.12,165.25,140.24,136.74,82.07,190.04,75.47,34.2,359.47,217.58,38.23,70.67,60.84,252.49,195.71,193.78,106.31,75.1,60.08,49.41,299.95,71.05,40.25,109.35,25.06,40.87,20.34,28.31,50.94,50.39,85.74,236.75,17.76,156.72,235.37,189.01,98.36,106.6,488.91,44.7,359.66,264.63,182.71,137.42,111.1,28.01,10.45,45.69,29.07,242.03,157.34,304.89,146.14,339.51,189.7,102.22,266.83,106.29,44.94,36.36,66.89,58.87,209.2,74.66,66.52,521.55,526.04,13.06,29.09,59.5,58.46,47.8,47.87,125.91,29.28,122.62,249.32,65.72,58.64,134.92,479.07,227.68,408.81,111.24,61.82,93.24,48.95,20.28,254.76,50.07,319.46,63.75,38.3,157.51,466.61,241.22,142.56,325.6,183.62,209.39,228.84,77.69,16.11,45.86,56.85,34.82,94.63,143.36,360.39
2021-01-06,124.59,86.82,242.47,474.1,136.39,294.15,68.64,91.62,195.17,178.33,157.32,198.95,50.64,38.22,114.04,28.58,244.7,2148.65,643.66,50.93,229.49,,54.62,170.67,141.76,132.34,81.15,179.68,75.31,36.15,354.69,216.11,38.62,73.58,60.37,259.42,193.03,194.78,106.9,75.23,59.48,50.35,291.81,72.94,43.2,113.04,25.18,45.05,20.53,27.46,52.89,49.94,84.51,247.88,19.39,161.54,236.63,191.27,99.85,107.35,489.05,45.6,348.71,265.09,185.83,138.29,115.45,27.53,10.77,45.37,29.1,245.64,155.23,303.44,145.16,341.09,190.71,102.73,260.57,105.38,45.53,38.23,66.82,61.67,204.3,74.58,68.43,511.97,519.77,13.19,30.74,58.41,57.61,48.37,48.32,123.81,29.37,123.31,257.82,66.14,61.16,137.53,475.83,231.63,407.4,110.15,61.59,93.3,51.22,21.87,253.29,50.52,314.91,64.83,39.85,160.66,465.92,252.83,143.09,314.79,186.02,206.96,225.1,77.37,16.63,45.38,55.96,36.95,96.06,145.8,351.0
2021-01-07,125.22,87.95,243.55,471.0,140.18,305.45,69.77,91.33,201.12,186.48,157.85,201.23,52.36,39.01,117.37,29.84,247.45,2249.63,670.15,51.59,232.78,,56.81,179.51,147.68,132.14,80.8,196.95,73.3,37.44,352.02,215.14,38.68,74.72,61.24,277.12,200.91,207.45,112.99,76.23,60.59,51.15,310.7,75.15,44.17,118.1,25.81,47.18,21.06,27.83,56.46,51.78,85.82,258.18,19.43,164.33,239.22,194.41,102.32,108.81,483.49,46.55,352.67,266.29,189.11,139.84,120.61,27.8,11.02,43.73,28.84,252.83,156.37,304.64,149.81,340.09,192.44,104.76,264.45,105.85,45.28,38.33,68.45,64.6,206.1,76.24,71.33,508.28,510.0,12.93,31.12,58.95,58.31,49.54,48.81,124.81,29.53,124.18,267.43,66.13,59.9,138.26,469.94,241.7,412.74,115.38,63.25,94.66,54.54,22.4,252.68,51.63,317.18,67.62,40.5,168.57,484.32,259.21,145.76,334.8,190.6,205.41,227.9,78.48,17.23,46.18,57.89,37.45,100.21,150.19,346.0
2021-01-08,129.19,88.55,246.78,480.0,144.04,316.41,67.42,95.98,204.3,187.18,159.0,199.65,52.71,40.36,115.45,29.49,249.88,2228.09,678.04,52.31,233.54,,56.08,176.78,146.24,136.95,80.31,203.42,73.46,38.25,349.28,218.09,38.93,76.12,60.18,280.7,204.31,209.71,114.72,75.23,59.82,50.64,319.37,75.04,47.2,119.48,25.55,46.97,21.19,28.9,55.14,52.38,88.33,261.98,19.16,167.18,239.58,194.32,101.16,109.89,499.79,47.42,359.6,268.07,189.47,141.17,120.86,27.38,11.15,43.68,28.95,255.63,158.32,302.45,150.08,342.44,192.15,104.79,266.85,104.34,46.89,39.68,69.96,64.32,210.57,80.62,71.27,511.31,521.64,13.33,31.55,59.26,61.17,50.03,48.28,124.51,29.63,123.04,264.43,66.61,60.74,142.71,486.58,241.11,420.68,115.91,62.9,94.09,55.44,22.82,259.99,51.37,318.9,67.25,41.67,170.68,504.06,285.33,150.86,342.7,197.28,207.32,233.86,76.08,17.18,45.94,56.38,37.61,100.44,150.15,345.2
2021-01-11,126.03,88.74,245.86,481.99,144.15,317.43,66.94,94.03,208.18,185.75,157.4,198.34,51.33,39.78,113.89,28.75,255.86,2224.23,674.16,53.33,231.22,,54.7,174.69,144.54,133.89,81.25,202.73,73.69,37.48,349.72,217.72,39.51,73.67,59.93,273.08,201.26,211.42,112.5,74.97,59.23,50.64,316.78,73.42,45.55,115.71,25.69,44.9,21.5,29.38,54.26,53.33,88.32,257.31,17.96,163.89,239.68,190.04,100.68,110.54,515.57,46.37,365.77,272.81,186.8,141.21,119.63,27.41,10.85,44.19,28.69,248.31,176.21,296.36,151.15,343.17,194.13,104.48,259.06,106.19,47.43,37.6,69.24,64.12,210.37,74.81,72.3,507.84,525.0,13.38,30.03,59.04,60.0,49.38,49.01,125.87,29.68,123.29,260.45,66.46,57.8,141.68,499.62,239.61,416.02,115.3,61.85,95.21,55.45,22.09,258.16,51.47,312.7,68.08,40.6,171.98,503.18,283.13,150.09,338.61,199.26,207.11,235.58,75.52,16.61,45.67,56.92,37.48,101.09,146.86,344.98
2021-01-12,125.35,90.52,243.33,474.41,144.96,320.0,65.88,97.86,205.68,188.43,156.0,195.42,52.51,40.43,115.39,29.94,268.78,2209.35,683.73,54.97,233.31,,57.16,177.53,144.28,135.05,80.48,203.03,73.27,39.11,345.37,216.11,39.64,76.6,59.86,279.35,200.71,212.78,112.38,74.55,58.15,50.15,318.53,75.09,48.15,117.36,25.4,48.7,21.54,30.13,56.21,52.42,86.75,266.59,19.36,164.33,242.95,189.81,101.57,111.75,507.09,46.92,361.58,270.45,189.26,139.97,123.95,26.84,11.17,43.69,29.08,249.03,174.1,297.71,152.42,338.26,192.87,104.09,255.23,104.93,46.63,38.75,70.58,66.12,208.47,77.35,71.11,500.0,520.0,13.72,32.06,59.09,61.0,49.91,48.93,123.78,30.06,122.49,267.69,65.58,60.92,142.17,503.02,242.76,426.32,114.11,62.66,94.22,57.28,23.27,261.48,51.35,307.87,68.77,41.66,174.77,506.42,277.0,151.01,334.24,196.43,205.54,234.8,73.74,17.27,46.61,55.8,39.49,100.8,148.34,333.2
2021-01-13,125.61,91.0,240.71,472.0,147.72,320.75,66.05,93.01,204.7,190.73,156.42,196.1,54.28,40.66,115.01,29.95,269.61,2141.25,697.34,55.09,232.0,,56.75,181.28,145.55,134.06,79.85,208.78,73.6,40.24,345.72,215.12,39.63,77.05,58.91,284.55,202.98,208.78,113.79,74.42,57.89,50.87,315.86,76.5,49.28,118.21,25.55,51.48,22.03,30.73,57.53,51.72,85.85,269.23,20.36,165.31,249.4,190.2,101.62,111.0,496.18,53.79,354.91,262.46,188.87,139.16,123.19,26.33,11.63,43.63,28.68,250.57,171.28,302.03,155.94,340.73,190.36,103.72,250.18,105.05,47.0,40.22,69.13,65.47,206.08,77.11,71.96,495.5,518.21,13.45,33.35,58.45,61.97,50.64,49.48,123.33,29.5,121.82,269.9,64.69,61.57,140.85,515.57,246.17,418.27,113.82,64.1,92.69,57.08,23.89,258.95,49.51,302.91,69.76,42.07,176.86,494.29,284.25,151.9,332.47,196.9,202.71,230.2,74.13,17.79,46.53,55.07,40.38,100.77,150.31,360.0
2021-01-14,127.6,92.82,241.47,472.41,146.96,314.08,66.05,91.77,205.14,190.18,158.38,200.37,53.65,40.95,116.0,29.99,269.49,2157.91,671.63,54.6,234.79,,57.19,178.83,147.19,134.38,80.27,207.62,74.07,40.3,347.27,216.33,39.27,77.66,59.35,285.74,202.87,209.08,112.67,76.58,59.37,51.55,313.43,75.32,48.12,116.66,26.02,51.31,21.79,29.82,56.7,51.56,86.92,272.79,20.04,164.08,245.98,189.98,100.73,110.76,497.31,52.84,355.22,271.43,187.81,141.12,124.88,26.23,11.76,43.79,29.13,251.07,176.46,307.86,156.14,339.83,191.43,104.24,252.02,106.07,45.86,39.46,68.34,65.51,207.9,78.15,73.17,507.35,527.2,13.54,33.9,58.22,61.07,50.22,50.2,123.65,29.33,122.12,271.45,64.96,60.34,144.67,511.69,243.54,403.55,113.49,63.83,94.03,56.16,23.3,257.12,50.11,301.33,68.2,42.46,175.5,496.27,281.13,150.85,333.22,197.24,203.83,228.22,75.65,17.8,46.24,56.18,40.36,100.47,152.11,371.0
2021-01-15,125.63,93.24,238.06,462.5,145.9,311.74,65.12,90.75,209.2,190.8,156.15,199.96,52.81,40.46,115.84,29.82,280.0,2152.01,664.63,55.53,234.1,,57.06,178.43,144.72,134.41,80.05,203.47,73.33,40.19,342.58,214.29,39.35,77.89,58.3,283.16,199.27,205.93,109.31,76.03,58.01,49.94,304.57,76.31,48.64,113.56,25.74,50.14,21.48,29.5,56.65,52.12,85.94,270.22,19.73,160.72,240.72,189.51,100.94,108.49,487.93,53.2,354.83,266.69,183.84,140.98,122.16,26.06,11.85,42.92,30.11,246.12,177.92,307.06,154.43,319.22,187.7,103.58,246.55,104.06,45.15,39.81,67.86,64.84,205.6,79.03,73.6,500.0,518.41,13.19,34.2,57.78,61.06,50.07,49.59,123.62,29.25,120.18,270.61,64.71,61.28,145.92,516.67,239.48,396.2,109.76,63.21,91.84,55.17,23.23,258.68,49.41,295.02,67.0,42.27,176.09,491.65,284.0,150.74,326.0,194.12,195.09,226.59,74.65,17.91,45.4,54.95,40.7,99.41,151.92,397.71
