Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,BRK.B,UNH,JPM,V,LLY,XOM,MA,AVGO,JNJ,HD,PG,MRK,COST,ABBV,ADBE,PEP,CRM,NFLX,CVX,WMT,ACN,AMD,MCD,KO,BAC,TMO,INTC,LIN,AMGN,TXN,NEE,PFE,HON,MS,UNP,QCOM,PM,GS,NOW,VRTX,BKNG,LOW,RTX,ISRG,LMT,IBM,SBUX,GE,CAT,BLK,DE,ADI,MDT,ORCL,INTU,CSCO,MU,ADSK,PANW,SNPS,CDNS,FTNT,ZM,REGN,BMY,GILD,BIIB,DHR,CI,ELV,ZBH,IDXX,HCA,SCHW,AXP,C,TFC,SPGI,ICE,CB,AON,MMC,AMP,SLB,COP,EOG,PSX,MPC,OKE,WMB,KMI,HAL,FANG,TGT,DG,ROST,DLTR,KHC,SYY,KR,CL,MNST,CHD,ETN,EMR,ROP,PH,ITW,ROK,FAST,PCAR,XYL,AOS,SO,D,DUK,AEP,EXC,PEG,ED,WEC,EIX,XEL
2021-01-04,133.81,222.96,13.1375,163.85,88.05,274.2,239.8667,232.63,352.0001,127.88,219.88,168.45,41.69,358.35,44.013,157.79,266.29,139.3,82.3,377.4,107.97,501.1,147.7,223.85,538.229,85.45,48.1267,261.658,92.23,215.15,54.83,30.47,470.26,49.8,266.49,230.0,164.97,77.8,36.92,213.91,69.42,208.225,153.3,83.15,267.05,559.0,236.84,2237.0,161.25,71.62,274.2633,355.53,120.3442,107.72,54.228,182.41,732.25,272.5,149.135,117.8,64.86,380.46,44.56,76.69,305.34,59.8683,260.17,137.01,29.811,338.6,483.45,62.32,58.69,245.955,224.6,209.28,,155.6,501.63,163.36,53.26,121.7,61.65,48.29,331.19,116.0,153.46,210.96,116.73,195.46,22.22,40.4,50.42,70.95,41.7702,38.86,20.43,13.77,19.17,49.1,177.0,210.15,122.81,108.69,34.79,74.76,31.76,84.62,46.4,88.0,122.0,80.434,430.33,273.51,206.48,251.244,24.5,57.5733,101.84,54.76,61.59,74.99,92.1195,83.4,42.34,58.48,72.36,91.78,62.32,66.68
2021-01-05,128.39,216.26,13.009,158.0,85.9,267.5,240.8133,227.35,348.28,124.42,216.98,164.64,41.5,349.5,42.4,156.2002,262.8081,137.67,80.75,379.0,105.6,482.0738,143.75,219.25,519.26,84.8,48.6,256.7059,91.65,210.03,52.57,29.9598,472.0,49.42,256.71,227.33,160.53,74.22,36.65,206.42,68.15,203.03,149.0,81.49,264.42,524.5,227.25,2154.56,159.7508,68.3,264.34,343.6,118.3078,102.16,51.8352,181.5,711.25,266.82,145.61,115.92,63.6,370.94,43.61,76.23,296.85,58.61,254.5,136.55,28.4,357.0,480.01,61.37,59.7681,243.74,219.52,206.2,,152.8616,487.57,162.59,52.2,118.4,59.89,47.07,333.99,113.01,150.35,205.1,113.94,188.26,22.0,39.8,50.2,69.98,40.75,37.72,20.1595,13.675,18.88,49.0,176.8001,209.45,117.14,106.53,34.17,72.55,32.12,84.58,44.965,86.4157,118.34,78.345,419.775,268.045,203.3201,245.98,23.655,56.5333,99.5,53.73,59.4,73.89,89.21,81.1712,41.02,55.865,70.7,90.39,60.57,65.88
2021-01-06,128.16,213.4,13.1363,157.7,85.45,262.98,253.7333,228.6,336.37,128.6,214.18,163.95,44.24,349.7,42.25,157.7,265.28,138.86,80.21,373.04,104.3908,475.0,142.37,218.6,512.55,88.37,48.5833,260.0,91.1,211.65,52.22,31.31,471.99,49.71,261.78,224.45,160.08,76.54,36.92,211.0,70.97,205.98,149.85,82.6,274.8,522.0,226.16,2185.32,160.5,69.05,265.29,346.0,121.2715,102.3361,54.3768,189.0,717.4,277.33,147.41,116.7,62.15,361.01,43.28,76.34,295.24,57.7667,253.45,133.03,27.594,351.5,473.0,60.81,59.3,243.74,226.5703,195.0,,153.77,492.01,168.25,53.69,121.3,62.95,49.1,327.38,113.15,151.8416,205.27,113.52,188.19,23.64,42.31,54.56,72.55,42.2101,39.8,21.0,14.17,20.81,54.91,179.51,207.0,115.41,106.62,33.4,72.99,32.03,84.03,45.415,85.565,122.49,80.76,418.72,272.8,206.02,249.25,24.02,56.6667,101.23,54.83,60.0,73.18,90.04,80.5,41.17,56.1,70.01,89.78,61.17,64.3998
2021-01-07,128.34,214.0,12.8563,158.15,86.5995,265.85,258.0433,231.47,359.27,135.1,213.35,164.32,44.98,350.2,43.02,159.5,268.0,140.3,82.62,372.25,106.59,470.9998,143.05,218.86,507.04,90.27,49.2167,261.0,91.34,213.42,50.67,33.01,489.1,50.9421,269.06,230.5738,165.35,79.64,37.05,212.89,75.11,215.0,152.54,82.99,289.5,515.0,226.7,2270.6546,163.6,70.2,266.93,348.05,124.4742,104.2,57.6168,194.75,747.72,293.02,150.21,118.925,62.87,363.38,44.03,78.25,305.95,58.365,251.67,132.0,27.902,348.0,472.5,61.86,61.8,247.63,239.55,213.0,,160.86,483.49,172.0,57.81,123.5,67.18,50.0,329.88,115.75,157.6291,206.88,113.5,200.21,24.72,43.94,55.6,71.98,43.19,40.25,21.67,14.48,20.95,57.02,189.89,216.0619,122.65,112.99,34.0,75.835,31.95,81.8,45.425,85.29,129.0,82.74,424.575,284.32,209.66,261.69,24.435,59.0467,105.99,56.6148,61.2,74.7,91.45,82.27,42.37,56.84,71.41,91.5356,62.65,66.57
2021-01-08,132.07,218.0,13.3335,159.0725,88.7,268.56,284.6633,233.45,365.78,135.87,214.22,165.8,45.31,350.5,44.664,160.67,267.0,139.3,84.02,368.9177,107.0,479.5,141.73,218.7,511.77,91.97,48.9733,265.2,95.81,212.69,50.1802,32.88,508.49,52.09,270.8,234.07,170.0,79.87,37.16,212.99,75.1,214.47,156.47,82.98,292.25,514.5,233.61,2256.34,164.6,70.1,268.35,343.0,123.7285,103.41,56.3208,195.02,757.06,300.02,156.74,118.6,63.33,374.75,44.45,82.21,318.83,61.1,260.11,136.65,29.0,345.3,486.04,62.5,62.45,249.98,241.64,220.57,,160.84,498.14,174.3728,59.2,122.0,66.16,51.52,330.43,116.7,156.98,206.6,111.84,201.36,25.22,45.1,59.18,72.34,44.54,41.0,21.67,14.62,20.5,57.88,192.36,218.5,122.36,114.8,33.62,75.75,31.87,82.42,46.5,84.72,129.0,82.435,430.975,281.46,211.5,261.29,24.825,59.0867,105.01,57.1,61.15,73.15,89.79,79.8,41.96,55.89,70.25,88.4,62.31,64.99
2021-01-11,130.09,217.6,13.4525,157.7,89.0,261.33,287.3333,231.85,362.24,134.5,213.03,188.67,44.8402,350.11,44.2835,160.25,268.47,138.5,82.86,367.7826,107.0,481.0,144.03,218.36,506.84,89.1437,48.6333,260.13,93.85,214.55,50.69,32.12,503.0,51.32,263.8,234.3185,169.5,80.94,37.06,207.3,74.0,221.5,155.09,82.5,285.4,525.2,235.0,2279.66,163.5502,69.0,271.5,333.99,122.1224,104.78,55.324,192.0,750.36,290.4002,155.77,119.36,63.11,376.05,44.86,76.38,315.91,60.5,257.33,133.52,29.414,346.12,500.0,63.1,63.85,256.5,243.755,219.74,,157.46,514.9,170.38,58.45,119.9,64.3699,50.0,324.5,117.59,154.59,203.72,113.82,199.22,24.25,44.02,57.5,68.93,42.22,39.27,21.09,14.31,19.72,55.46,192.7,215.31,121.04,112.7,33.42,76.8,31.462,82.6,47.5525,85.27,125.16,80.84,426.77,276.74,207.54,258.84,25.25,58.0733,106.3,55.4913,61.03,72.7,89.2276,79.0,42.02,57.04,69.84,87.78,62.23,65.61
2021-01-12,128.9,216.33,13.7,155.8,87.7,256.7,276.2333,233.52,359.0,139.4,212.27,185.33,47.5,348.3,44.8,159.37,271.75,137.85,85.3,363.78,109.2,474.19,141.57,218.65,499.61,92.37,49.6033,260.35,97.7002,214.1,50.21,33.48,513.0,51.64,264.1,236.68,172.64,79.85,37.89,208.55,76.58,218.0,156.2,81.88,296.01,520.98,234.7,2221.27,166.9,69.81,270.45,339.21,123.1358,104.36,57.268,194.46,768.0,295.79,158.63,118.65,63.09,371.69,44.8001,79.1,319.0,60.955,260.43,135.22,30.5,327.78,505.0,65.5,62.52,267.0,244.88,218.925,,158.58,508.68,171.13,61.0,120.91,67.27,51.01,318.785,120.66,154.58,201.58,112.44,202.6591,25.47,46.26,60.9,72.57,44.02,41.52,21.8,14.78,20.87,59.0,196.18,214.105,120.84,112.51,32.9,76.83,31.85,81.88,46.445,84.6,126.74,82.92,436.9,285.81,210.09,263.33,25.22,58.8133,106.1,57.045,61.21,73.14,89.96,77.8,41.9,56.83,68.93,87.0,62.88,64.29
2021-01-13,129.08,214.25,13.4025,156.645,86.55,251.33,282.3833,232.66,354.545,139.84,210.13,178.99,48.54,345.42,44.6,158.4,278.75,136.78,83.1,363.0322,109.69,470.42,140.82,216.1,492.7,93.4,49.61,256.5,95.42,211.93,50.02,33.5698,503.87,55.64,264.72,236.19,171.62,80.2094,37.06,207.57,75.7,219.56,155.26,81.01,301.05,517.7815,230.85,2177.375,170.25,71.0,264.3,342.45,123.4608,102.5,58.6632,197.8,780.0,301.0,159.09,117.99,62.6,364.68,45.28,78.99,320.79,61.85,259.47,134.06,30.758,354.0,518.65,65.8499,61.61,270.0,240.91,224.7,,160.46,496.78,171.9664,61.9115,121.5,66.4,52.22,313.06,118.75,155.7,202.0,112.61,203.84,26.38,47.44,62.7,73.72,45.37,43.3,22.4,15.21,22.12,62.87,199.69,217.515,119.7,113.7,32.23,77.7,31.57,81.9,47.0475,84.29,127.56,84.15,427.5,287.54,209.5,265.19,25.705,59.94,105.87,58.575,59.25,71.9509,89.0,78.0,42.19,57.5,68.09,85.9,62.355,63.55
2021-01-14,131.02,216.15,13.5988,158.7475,87.3845,252.8,281.0,234.75,357.46,141.5,210.79,186.4094,48.7,347.75,45.207,160.8198,274.8,137.8957,82.55,367.4644,111.25,472.6,141.34,219.05,508.8,93.8,49.2,256.268,91.65,212.45,50.34,33.7,502.5,58.2,266.62,238.0,171.74,82.51,36.85,208.12,76.29,217.81,158.49,81.2,305.25,528.25,228.57,2194.84,170.12,71.0,271.6,347.88,121.7973,103.88,57.9664,197.5,754.33,301.7,158.82,119.8405,62.32,366.06,45.21,80.0,313.955,61.09,257.73,134.31,30.058,370.8544,516.96,64.84,61.58,270.0,239.79,223.09,,163.11,495.985,170.73,59.5,122.2004,67.48,52.37,315.5,117.84,157.43,206.94,113.865,203.68,25.5,47.47,60.27,71.95,44.58,44.06,22.3,15.4202,21.56,62.07,196.95,220.0,118.64,112.55,32.15,76.83,31.99,82.7,45.99,84.615,126.56,82.905,413.72,288.39,208.47,263.65,25.51,59.3267,106.09,58.3,59.615,72.5,91.57,78.2,42.93,58.39,69.79,87.75,63.24,64.84
2021-01-15,128.85,213.53,13.24,157.0,86.5075,248.0,284.6667,233.34,349.01,138.23,201.75,186.27,48.52,327.15,44.827,161.0,268.24,135.0,82.0,361.06,111.28,464.5,141.6,216.2702,502.0,93.65,48.9167,253.13,90.96,208.01,49.1,33.37,500.0,58.54,261.5,240.69,171.0,81.604,36.71,206.99,75.11,214.36,160.7,80.7,302.0,515.01,226.0,2185.36,169.2,70.86,269.45,348.7,123.0402,101.5,57.716,196.25,744.9,300.3,158.18,117.745,61.51,365.85,44.8,81.33,312.01,60.5267,260.13,135.39,29.67,397.07,519.88,65.87,62.11,280.6452,237.545,218.7477,,162.01,493.59,167.35,58.32,122.65,67.72,52.5,305.01,115.17,154.65,205.26,111.68,204.58,25.52,47.03,61.19,73.27,44.74,43.87,22.47,15.55,21.31,61.19,196.15,213.02,116.48,109.15,32.1332,74.8,33.0,82.0,45.4,84.5,123.79,83.9,405.01,288.5,203.81,257.45,25.095,59.2733,104.94,57.01,59.05,71.02,90.68,78.61,42.61,58.23,68.49,86.5,61.29,63.74
