Date,AAPL,ABBV,ACN,ADBE,ADI,ADSK,AEP,AMD,AMGN,AMP,AMZN,AON,AOS,AVGO,AXP,BAC,BIIB,BKNG,BLK,BMY,BRK.B,C,CAT,CB,CDNS,CHD,CI,CL,COP,COST,CRM,CSCO,CVX,D,DE,DG,DHR,DLTR,DUK,ED,EIX,ELV,EMR,EOG,ETN,EXC,FANG,FAST,FTNT,GE,GILD,GOOGL,GS,HAL,HCA,HD,HON,IBM,ICE,IDXX,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMI,KO,KR,LIN,LLY,LMT,LOW,MA,MCD,MDT,META,MMC,MNST,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NOW,NVDA,OKE,ORCL,PANW,PCAR,PEG,PEP,PFE,PG,PH,PM,PSX,QCOM,REGN,ROK,ROP,ROST,RTX,SBUX,SCHW,SLB,SNPS,SO,SPGI,SYY,TFC,TGT,TMO,TSLA,TXN,UNH,UNP,V,VRTX,WEC,WMB,WMT,XEL,XOM,XYL,ZBH,ZM
2021-01-04,133.81,107.97,261.658,501.1,149.135,305.34,83.4,92.23,230.0,195.46,163.85,210.96,54.76,44.013,121.7,30.47,245.955,2237.0,732.25,62.32,232.63,61.65,182.41,153.46,137.01,88.0,209.28,84.62,40.4,377.4,223.85,44.56,85.45,74.99,272.5,210.15,224.6,108.69,92.1195,72.36,62.32,,80.434,50.42,122.0,42.34,49.1,24.5,29.811,54.228,58.69,88.05,267.05,19.17,163.36,266.29,213.91,120.3442,116.0,501.63,49.8,380.46,274.2633,206.48,157.79,127.88,34.79,13.77,54.83,31.76,266.49,168.45,355.53,161.25,358.35,215.15,117.8,274.2,116.73,46.4,41.7702,82.3,69.42,222.96,76.69,77.8,538.229,559.0,13.1375,38.86,64.86,59.8683,57.5733,58.48,147.7,36.92,139.3,273.51,83.15,70.95,153.3,483.45,251.244,430.33,122.81,71.62,107.72,53.26,22.22,260.17,61.59,331.19,74.76,48.29,177.0,470.26,239.8667,164.97,352.0001,208.225,219.88,236.84,91.78,20.43,48.1267,66.68,41.69,101.84,155.6,338.6
2021-01-05,128.39,105.6,256.7059,482.0738,145.61,296.85,81.1712,91.65,227.33,188.26,158.0,205.1,53.73,42.4,118.4,29.9598,243.74,2154.56,711.25,61.37,227.35,59.89,181.5,150.35,136.55,86.4157,206.2,84.58,39.8,379.0,219.25,43.61,84.8,73.89,266.82,209.45,219.52,106.53,89.21,70.7,60.57,,78.345,50.2,118.34,41.02,49.0,23.655,28.4,51.8352,59.7681,85.9,264.42,18.88,162.59,262.8081,206.42,118.3078,113.01,487.57,49.42,370.94,264.34,203.3201,156.2002,124.42,34.17,13.675,52.57,32.12,256.71,164.64,343.6,159.7508,349.5,210.03,115.92,267.5,113.94,44.965,40.75,80.75,68.15,216.26,76.23,74.22,519.26,524.5,13.009,37.72,63.6,58.61,56.5333,55.865,143.75,36.65,137.67,268.045,81.49,69.98,149.0,480.01,245.98,419.775,117.14,68.3,102.16,52.2,22.0,254.5,59.4,333.99,72.55,47.07,176.8001,472.0,240.8133,160.53,348.28,203.03,216.98,227.25,90.39,20.1595,48.6,65.88,41.5,99.5,152.8616,357.0
2021-01-06,128.16,104.3908,260.0,475.0,147.41,295.24,80.5,91.1,224.45,188.19,157.7,205.27,54.83,42.25,121.3,31.31,243.74,2185.32,717.4,60.81,228.6,62.95,189.0,151.8416,133.03,85.565,195.0,84.03,42.31,373.04,218.6,43.28,88.37,73.18,277.33,207.0,226.5703,106.62,90.04,70.01,61.17,,80.76,54.56,122.49,41.17,54.91,24.02,27.594,54.3768,59.3,85.45,274.8,20.81,168.25,265.28,211.0,121.2715,113.15,492.01,49.71,361.01,265.29,206.02,157.7,128.6,33.4,14.17,52.22,32.03,261.78,163.95,346.0,160.5,349.7,211.65,116.7,262.98,113.52,45.415,42.2101,80.21,70.97,213.4,76.34,76.54,512.55,522.0,13.1363,39.8,62.15,57.7667,56.6667,56.1,142.37,36.92,138.86,272.8,82.6,72.55,149.85,473.0,249.25,418.72,115.41,69.05,102.3361,53.69,23.64,253.45,60.0,327.38,72.99,49.1,179.51,471.99,253.7333,160.08,336.37,205.98,214.18,226.16,89.78,21.0,48.5833,64.3998,44.24,101.23,153.77,351.5
2021-01-07,128.34,106.59,261.0,470.9998,150.21,305.95,82.27,91.34,230.5738,200.21,158.15,206.88,56.6148,43.02,123.5,33.01,247.63,2270.6546,747.72,61.86,231.47,67.18,194.75,157.6291,132.0,85.29,213.0,81.8,43.94,372.25,218.86,44.03,90.27,74.7,293.02,216.0619,239.55,112.99,91.45,71.41,62.65,,82.74,55.6,129.0,42.37,57.02,24.435,27.902,57.6168,61.8,86.5995,289.5,20.95,172.0,268.0,212.89,124.4742,115.75,483.49,50.9421,363.38,266.93,209.66,159.5,135.1,34.0,14.48,50.67,31.95,269.06,164.32,348.05,163.6,350.2,213.42,118.925,265.85,113.5,45.425,43.19,82.62,75.11,214.0,78.25,79.64,507.04,515.0,12.8563,40.25,62.87,58.365,59.0467,56.84,143.05,37.05,140.3,284.32,82.99,71.98,152.54,472.5,261.69,424.575,122.65,70.2,104.2,57.81,24.72,251.67,61.2,329.88,75.835,50.0,189.89,489.1,258.0433,165.35,359.27,215.0,213.35,226.7,91.5356,21.67,49.2167,66.57,44.98,105.99,160.86,348.0
2021-01-08,132.07,107.0,265.2,479.5,156.74,318.83,79.8,95.81,234.07,201.36,159.0725,206.6,57.1,44.664,122.0,32.88,249.98,2256.34,757.06,62.5,233.45,66.16,195.02,156.98,136.65,84.72,220.57,82.42,45.1,368.9177,218.7,44.45,91.97,73.15,300.02,218.5,241.64,114.8,89.79,70.25,62.31,,82.435,59.18,129.0,41.96,57.88,24.825,29.0,56.3208,62.45,88.7,292.25,20.5,174.3728,267.0,212.99,123.7285,116.7,498.14,52.09,374.75,268.35,211.5,160.67,135.87,33.62,14.62,50.1802,31.87,270.8,165.8,343.0,164.6,350.5,212.69,118.6,268.56,111.84,46.5,44.54,84.02,75.1,218.0,82.21,79.87,511.77,514.5,13.3335,41.0,63.33,61.1,59.0867,55.89,141.73,37.16,139.3,281.46,82.98,72.34,156.47,486.04,261.29,430.975,122.36,70.1,103.41,59.2,25.22,260.11,61.15,330.43,75.75,51.52,192.36,508.49,284.6633,170.0,365.78,214.47,214.22,233.61,88.4,21.67,48.9733,64.99,45.31,105.01,160.84,345.3
2021-01-11,130.09,107.0,260.13,481.0,155.77,315.91,79.0,93.85,234.3185,199.22,157.7,203.72,55.4913,44.2835,119.9,32.12,256.5,2279.66,750.36,63.1,231.85,64.3699,192.0,154.59,133.52,85.27,219.74,82.6,44.02,367.7826,218.36,44.86,89.1437,72.7,290.4002,215.31,243.755,112.7,89.2276,69.84,62.23,,80.84,57.5,125.16,42.02,55.46,25.25,29.414,55.324,63.85,89.0,285.4,19.72,170.38,268.47,207.3,122.1224,117.59,514.9,51.32,376.05,271.5,207.54,160.25,134.5,33.42,14.31,50.69,31.462,263.8,188.67,333.99,163.5502,350.11,214.55,119.36,261.33,113.82,47.5525,42.22,82.86,74.0,217.6,76.38,80.94,506.84,525.2,13.4525,39.27,63.11,60.5,58.0733,57.04,144.03,37.06,138.5,276.74,82.5,68.93,155.09,500.0,258.84,426.77,121.04,69.0,104.78,58.45,24.25,257.33,61.03,324.5,76.8,50.0,192.7,503.0,287.3333,169.5,362.24,221.5,213.03,235.0,87.78,21.09,48.6333,65.61,44.8402,106.3,157.46,346.12
2021-01-12,128.9,109.2,260.35,474.19,158.63,319.0,77.8,97.7002,236.68,202.6591,155.8,201.58,57.045,44.8,120.91,33.48,267.0,2221.27,768.0,65.5,233.52,67.27,194.46,154.58,135.22,84.6,218.925,81.88,46.26,363.78,218.65,44.8001,92.37,73.14,295.79,214.105,244.88,112.51,89.96,68.93,62.88,,82.92,60.9,126.74,41.9,59.0,25.22,30.5,57.268,62.52,87.7,296.01,20.87,171.13,271.75,208.55,123.1358,120.66,508.68,51.64,371.69,270.45,210.09,159.37,139.4,32.9,14.78,50.21,31.85,264.1,185.33,339.21,166.9,348.3,214.1,118.65,256.7,112.44,46.445,44.02,85.3,76.58,216.33,79.1,79.85,499.61,520.98,13.7,41.52,63.09,60.955,58.8133,56.83,141.57,37.89,137.85,285.81,81.88,72.57,156.2,505.0,263.33,436.9,120.84,69.81,104.36,61.0,25.47,260.43,61.21,318.785,76.83,51.01,196.18,513.0,276.2333,172.64,359.0,218.0,212.27,234.7,87.0,21.8,49.6033,64.29,47.5,106.1,158.58,327.78
2021-01-13,129.08,109.69,256.5,470.42,159.09,320.79,78.0,95.42,236.19,203.84,156.645,202.0,58.575,44.6,121.5,33.5698,270.0,2177.375,780.0,65.8499,232.66,66.4,197.8,155.7,134.06,84.29,224.7,81.9,47.44,363.0322,216.1,45.28,93.4,71.9509,301.0,217.515,240.91,113.7,89.0,68.09,62.355,,84.15,62.7,127.56,42.19,62.87,25.705,30.758,58.6632,61.61,86.55,301.05,22.12,171.9664,278.75,207.57,123.4608,118.75,496.78,55.64,364.68,264.3,209.5,158.4,139.84,32.23,15.21,50.02,31.57,264.72,178.99,342.45,170.25,345.42,211.93,117.99,251.33,112.61,47.0475,45.37,83.1,75.7,214.25,78.99,80.2094,492.7,517.7815,13.4025,43.3,62.6,61.85,59.94,57.5,140.82,37.06,136.78,287.54,81.01,73.72,155.26,518.65,265.19,427.5,119.7,71.0,102.5,61.9115,26.38,259.47,59.25,313.06,77.7,52.22,199.69,503.87,282.3833,171.62,354.545,219.56,210.13,230.85,85.9,22.4,49.61,63.55,48.54,105.87,160.46,354.0
2021-01-14,131.02,111.25,256.268,472.6,158.82,313.955,78.2,91.65,238.0,203.68,158.7475,206.94,58.3,45.207,122.2004,33.7,270.0,2194.84,754.33,64.84,234.75,67.48,197.5,157.43,134.31,84.615,223.09,82.7,47.47,367.4644,219.05,45.21,93.8,72.5,301.7,220.0,239.79,112.55,91.57,69.79,63.24,,82.905,60.27,126.56,42.93,62.07,25.51,30.058,57.9664,61.58,87.3845,305.25,21.56,170.73,274.8,208.12,121.7973,117.84,495.985,58.2,366.06,271.6,208.47,160.8198,141.5,32.15,15.4202,50.34,31.99,266.62,186.4094,347.88,170.12,347.75,212.45,119.8405,252.8,113.865,45.99,44.58,82.55,76.29,216.15,80.0,82.51,508.8,528.25,13.5988,44.06,62.32,61.09,59.3267,58.39,141.34,36.85,137.8957,288.39,81.2,71.95,158.49,516.96,263.65,413.72,118.64,71.0,103.88,59.5,25.5,257.73,59.615,315.5,76.83,52.37,196.95,502.5,281.0,171.74,357.46,217.81,210.79,228.57,87.75,22.3,49.2,64.84,48.7,106.09,163.11,370.8544
2021-01-15,128.85,111.28,253.13,464.5,158.18,312.01,78.61,90.96,240.69,204.58,157.0,205.26,57.01,44.827,122.65,33.37,280.6452,2185.36,744.9,65.87,233.34,67.72,196.25,154.65,135.39,84.5,218.7477,82.0,47.03,361.06,216.2702,44.8,93.65,71.02,300.3,213.02,237.545,109.15,90.68,68.49,61.29,,83.9,61.19,123.79,42.61,61.19,25.095,29.67,57.716,62.11,86.5075,302.0,21.31,167.35,268.24,206.99,123.0402,115.17,493.59,58.54,365.85,269.45,203.81,161.0,138.23,32.1332,15.55,49.1,33.0,261.5,186.27,348.7,169.2,327.15,208.01,117.745,248.0,111.68,45.4,44.74,82.0,75.11,213.53,81.33,81.604,502.0,515.01,13.24,43.87,61.51,60.5267,59.2733,58.23,141.6,36.71,135.0,288.5,80.7,73.27,160.7,519.88,257.45,405.01,116.48,70.86,101.5,58.32,25.52,260.13,59.05,305.01,74.8,52.5,196.15,500.0,284.6667,171.0,349.01,214.36,201.75,226.0,86.5,22.47,48.9167,63.74,48.52,104.94,162.01,397.07
