Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,SPY,BRK.B,UNH,JPM,V,LLY,XOM,MA,AVGO,JNJ,HD,PG,MRK,COST,ABBV,ADBE,PEP,CRM,NFLX,CVX,WMT,ACN,AMD,MCD,KO,BAC,TMO,INTC,LIN,AMGN,TXN,NEE,PFE,HON,MS,UNP,QCOM,PM,GS,NOW,VRTX,BKNG,LOW,RTX,ISRG,LMT,IBM,SBUX,GE,CAT,BLK,DE,ADI,MDT,ORCL,INTU,CSCO,MU,ADSK,PANW,SNPS,CDNS,FTNT,ZM,REGN,BMY,GILD,BIIB,DHR,CI,ELV,ZBH,IDXX,HCA,SCHW,AXP,C,TFC,SPGI,ICE,CB,AON,MMC,AMP,SLB,COP,EOG,PSX,MPC,OKE,WMB,KMI,HAL,FANG,TGT,DG,ROST,DLTR,KHC,SYY,KR,CL,MNST,CHD,ETN,EMR,ROP,PH,ITW,ROK,FAST,PCAR,XYL,AOS,SO,D,DUK,AEP,EXC,PEG,ED,WEC,EIX,XEL
2021-01-04,133.59,223.01,13.1375,164.2475,88.3475,273.7,241.75,,,353.5,127.93,220.0,168.9,42.03,357.0,44.19,158.3,266.26,140.4,82.33,377.03,108.5,502.0,148.8,224.75,536.0,85.86,48.1,262.5,92.01,215.21,54.9,30.54,471.0,49.6,267.17,231.0,164.79,78.33,37.08,213.49,69.55,210.5,153.95,83.05,268.0,558.1,237.52,2281.21,161.05,71.75,275.28,355.53,120.5927,107.46,54.4272,183.0,732.5,273.0,148.43,117.89,65.0,380.61,44.56,76.18,306.8,59.1667,260.17,137.11,29.8,341.0,484.0002,62.8,58.18,246.5,224.1,209.14,,155.6,503.57,163.36,53.22,121.7,61.95,48.1,330.82,115.6,152.44,211.26,116.83,195.3,22.29,40.8,51.36,70.77,41.7,38.38,20.3,13.75,19.06,48.85,176.56,210.15,122.81,108.69,34.9,74.76,31.75,85.66,46.25,88.0,121.0,80.58,429.92,273.51,206.0002,251.89,24.5582,57.7867,102.03,54.82,61.43,75.25,91.56,83.37,42.42,58.3,72.4,91.88,62.82,66.68
2021-01-05,130.09,217.72,13.1628,159.5245,85.85,268.72,243.6867,,,348.28,125.61,217.25,165.19,41.75,351.49,42.613,157.05,263.66,138.2,81.0,378.09,105.98,483.0,143.75,221.16,525.12,85.37,48.9133,256.4,93.03,210.5,52.97,30.17,473.37,49.45,257.18,226.75,162.32,74.55,36.8,206.5055,68.65,202.9,149.66,80.61,263.8,524.7,227.25,2164.0,159.4201,68.35,264.63,347.0,118.5468,103.2,52.2336,182.13,717.8,266.84,145.55,115.92,63.5,370.44,43.78,76.48,297.84,57.3333,254.5,138.0,28.34,358.31,480.01,61.7,60.08,243.71,222.25,205.53,,153.1,488.91,162.59,52.52,118.11,60.44,46.6,331.78,113.0,149.99,205.1,113.93,188.11,22.14,39.8,50.9022,69.75,40.75,37.84,20.1,13.58,18.8,49.52,177.63,209.71,117.14,106.31,34.33,72.55,32.0124,84.33,45.005,86.5,118.32,78.18,419.98,265.32,202.56,246.21,23.77,56.5333,99.5,53.64,59.49,73.5409,90.08,81.1712,41.02,55.71,70.7,90.39,60.67,65.6
2021-01-06,128.01,213.06,13.09,157.1,85.0,262.17,250.02,,,339.46,128.45,213.61,164.01,44.29,347.66,41.934,157.43,267.0,138.48,80.95,368.23,106.0,476.7,143.75,219.0,509.9,88.7,48.5833,260.0,91.33,211.94,52.05,31.0,471.99,49.32,262.32,226.3,159.86,76.4,36.96,210.7,70.69,204.57,149.55,82.6,274.2,524.0,226.71,2180.0,160.5,69.42,265.29,346.0,120.3633,103.0,53.9288,186.6,713.94,276.0,147.87,116.7,62.43,360.16,42.87,75.7,295.67,57.7667,255.0,133.0,27.97,350.85,477.0,61.2,59.17,243.83,226.57,202.22,,153.77,494.0,168.25,53.99,120.11,63.2,48.34,327.06,113.9,153.78,205.27,112.95,191.56,23.53,42.58,54.79,73.69,42.85,39.48,20.67,14.1,20.46,55.03,180.01,206.75,114.83,106.38,33.7,72.5,31.91,84.93,44.7,85.53,121.99,80.26,418.53,272.8,206.02,249.25,24.29,56.8333,101.25,54.69,60.0,73.9999,89.95,80.98,40.63,55.0,70.0,89.86,61.17,64.32
2021-01-07,127.85,213.8,12.786,157.8695,86.825,264.04,260.0667,,,359.94,132.98,212.83,164.35,44.85,351.9066,43.02,160.3,267.86,140.65,82.28,372.55,106.8,469.98,143.59,217.67,503.29,90.12,49.1667,261.0,90.88,213.19,50.77,32.51,485.31,51.06,269.28,232.32,164.5,80.33,37.05,212.54,74.21,211.95,151.51,83.0,286.65,512.52,226.7,2278.15,163.6099,70.32,266.29,348.98,123.6807,105.3,56.8688,195.45,760.0,292.9,150.37,118.88,63.12,363.38,44.28,78.0,305.45,58.305,251.67,132.14,27.826,348.06,472.94,61.85,61.22,248.0,236.14,212.0,,160.33,483.49,171.04,57.69,123.9,65.97,50.04,329.88,116.4,157.95,206.88,113.5,200.0,24.6,43.65,55.45,72.0,43.19,40.03,21.5,14.5,20.84,56.63,189.0,216.0619,122.69,112.99,34.06,75.94,32.08,82.99,45.425,85.89,127.5,82.69,423.46,284.59,209.66,261.37,24.63,59.2467,104.98,56.72,61.2,74.56,91.1,82.28,42.37,56.95,71.41,91.28,62.65,66.57
2021-01-08,132.05,218.3,13.3498,158.578,88.6,269.4,283.7167,,,365.78,136.2,214.67,166.22,45.17,352.2,44.406,161.1,267.32,139.55,84.0,368.7,106.8,479.2,142.27,219.0,511.0,90.73,49.1333,265.2,95.52,212.75,50.22,33.0,504.37,51.94,271.04,234.02,169.0,79.29,37.24,214.44,76.17,214.45,155.67,83.65,293.79,512.99,233.61,2256.34,163.81,69.86,268.35,343.25,123.566,104.19,56.3704,195.0,757.51,300.5,156.33,118.6,63.35,369.02,44.69,80.99,317.0,60.55,260.11,137.42,29.0,342.47,484.57,62.2,62.5,251.87,241.04,220.57,,160.62,498.26,174.0,56.49,121.68,66.86,51.52,331.2,116.63,156.63,206.0,111.84,201.36,25.11,44.69,58.8,73.0,44.17,40.81,21.65,14.88,20.4,58.86,191.8442,218.5,122.36,114.8,33.78,75.03,31.99,82.2,47.07,84.5,129.8,82.57,431.6,281.4,210.94,260.73,24.825,59.0867,107.0,57.1,61.15,73.16,90.1,79.8,41.96,55.0806,70.25,88.4,62.19,65.1
2021-01-11,131.3,219.13,13.4748,158.25,89.2758,263.1,286.9967,,,359.28,134.15,214.21,167.9,45.38,352.0,44.061,160.19,268.52,138.001,83.03,369.49,107.3,483.99,143.8,218.5,508.22,89.89,48.99,265.21,94.09,214.5101,50.69,32.18,511.67,51.2,263.69,238.0,170.36,81.0,37.05,207.4,74.61,218.47,155.64,82.5,287.79,530.0,237.49,2252.43,164.1,69.25,271.8967,336.0,122.6195,105.3,55.7728,193.03,764.2,292.0,155.76,118.01,63.25,376.3,45.08,76.9,317.43,60.5,260.85,135.19,29.8,345.0,502.0,62.6,62.71,253.0,243.49,219.74,,157.46,509.0,170.58,58.91,120.25,64.8,50.75,324.76,117.67,154.0,204.64,113.82,199.22,24.6,44.25,57.97,69.81,42.87,39.81,21.39,14.39,20.06,56.11,193.59,215.0,121.32,113.0,33.5,76.8,31.58,81.74,47.25,84.89,123.0101,81.5,426.82,277.17,207.1,261.81,25.375,58.0733,106.72,56.04,61.0,72.8,90.0,79.6,42.01,57.04,69.9,87.83,62.18,65.68
2021-01-12,129.6,217.56,13.775,156.25,87.975,258.31,278.3333,,,359.01,139.0,213.7,185.78,47.26,348.3,44.84,159.62,272.04,138.28,85.1,364.07,110.7,476.08,142.1,218.64,500.9,92.54,49.7267,260.35,98.18,214.76,50.32,33.48,513.0,51.83,265.72,238.1,171.67,80.0,37.79,208.49,76.77,217.6,157.81,82.05,295.04,520.98,235.1,2221.27,167.02,69.96,270.45,339.0,123.26,105.7,57.0688,194.46,768.0,296.12,160.04,119.24,63.2,374.0,45.3,78.92,319.0,61.0033,260.43,135.22,30.02,339.8,505.18,65.7,62.65,267.02,244.57,219.58,,158.36,508.68,171.04,60.51,121.44,67.36,51.5,319.75,118.6,154.57,201.63,112.47,202.09,25.26,46.0,59.98,72.7,43.98,41.52,21.65,14.88,20.67,58.3,197.1,215.0,120.84,112.51,32.95,76.83,31.85,82.83,46.54,84.83,126.74,82.62,437.39,284.87,209.82,262.52,25.22,58.8133,106.24,56.88,61.22,73.38,89.96,78.27,41.88,56.95,69.07,87.0,61.58,64.39
2021-01-13,129.7,215.31,13.472,156.304,86.9205,252.01,282.6667,,,356.04,140.01,210.29,180.31,48.31,346.03,44.7922,158.89,278.5,137.05,83.24,364.0,110.58,471.5,140.91,216.6,495.3,93.98,49.6833,256.5,96.01,211.25,50.17,33.6,500.02,53.2,266.08,236.26,172.3,80.4,37.12,208.7,75.83,219.43,154.51,81.01,302.21,518.21,231.9333,2196.34,169.98,71.51,264.4433,342.5,123.6138,102.7,58.4144,197.7,780.0,302.0,159.09,119.0,62.65,364.68,45.67,80.0,319.65,61.9667,258.95,133.8,31.1,360.27,521.0,65.86,61.33,272.0,241.01,225.8,,160.46,496.18,172.06,61.2,122.99,66.75,52.35,313.45,117.86,155.67,202.33,112.6,204.56,26.56,47.37,62.37,73.74,45.58,43.65,22.4,15.2,22.17,62.95,199.0,217.21,119.7,113.79,32.27,77.82,31.55,81.9,46.995,84.16,128.34,84.15,429.13,287.22,209.39,266.21,25.625,59.94,106.21,58.8,59.0,71.45,88.98,78.0,42.2,57.58,68.0,86.22,62.47,64.78
2021-01-14,130.18,214.53,13.5915,158.2945,87.1,251.56,279.52,,,357.5,141.16,209.5,186.59,48.66,347.6,45.197,160.35,275.0,137.26,82.5,366.0,111.5,472.1,142.6,219.5,507.7,93.8,49.32,257.25,90.8,212.35,50.16,33.68,504.99,58.1,266.85,236.79,171.55,82.5,36.95,208.04,76.05,217.67,158.57,81.2,304.0,524.4,228.57,2185.27,169.0233,71.0,271.43,348.0,121.8929,104.28,57.6664,195.34,793.4,304.0,158.48,119.5,62.49,367.49,45.23,80.0,314.08,61.0683,258.98,134.22,29.798,370.0,517.2926,65.17,61.14,267.0,240.32,224.54,,162.38,497.31,170.78,59.4,122.53,67.41,52.37,312.95,117.88,157.43,206.94,113.69,203.97,25.63,47.13,60.3,71.92,44.32,43.71,22.3,15.48,21.5,61.44,196.16,218.0078,119.34,112.56,32.11,76.6,31.79,83.11,45.935,84.61,127.0,82.88,414.03,288.87,208.22,263.36,25.35,59.3,105.9,58.3,59.22,72.55,92.15,78.5,42.8,58.42,69.71,87.99,63.3,64.93
2021-01-15,128.79,213.5,13.1753,156.6,86.418,246.41,281.99,,,349.0,140.4,203.21,186.86,49.67,328.65,44.934,161.32,268.5,135.56,82.17,362.5,111.63,464.9,141.8,216.3,503.0,94.51,48.8333,253.99,90.75,208.22,49.36,33.86,501.0,58.96,262.14,240.54,171.5,82.7,36.78,208.01,76.48,217.0,159.98,80.7,310.0,515.0,226.0,2185.36,169.99,70.99,269.27,351.0,123.1358,101.75,57.9152,197.0,747.0,302.37,160.04,117.54,61.76,366.46,45.04,81.65,312.98,60.5267,259.47,135.1,29.434,388.12,519.88,66.01,62.5,280.0,236.7,220.06,,162.18,494.22,167.28,59.0,122.65,68.71,53.14,305.01,115.01,154.79,205.27,111.68,204.63,25.72,47.77,61.62,73.1,,,,,,,198.04,213.02,116.66,109.15,32.08,75.1,33.1,82.0,45.565,84.5,124.2,84.55,406.49,287.98,203.81,259.57,25.0,59.3333,104.78,57.21,59.25,71.18,90.28,78.49,42.55,58.23,68.5,86.82,61.32,63.5
