date,ticker,name,price,change,confidence,feature1,feature2,feature3,feature4
2025-08-19,SLB,SLB,34.06,2.5313657006952024,6,Overnight drift,RSI,Vol(5),MA(5)
2025-08-19,FANG,FANG,142.29,2.4026672597545113,6,Overnight drift,RSI,MA(20),GARCH vol
2025-08-19,COP,COP,95.69,2.2739688188138203,6,Overnight drift,RSI,GARCH vol,Prev sign
2025-08-19,HAL,HAL,21.63,2.2739688188138203,6,Overnight drift,MA(20),GARCH vol,MACD
2025-08-19,TGT,TGT,107.71,2.2098242509277046,5,Overnight drift,RSI,MA(20),MA(5)
2025-08-19,CI,CI,304.27,2.016571936932438,6,Overnight drift,RSI,MA(20),MA(5)
2025-08-19,PFE,PFE,25.63,2.016571936932438,6,RSI,Overnight drift,Bollinger %B,MA(20)
2025-08-19,CVX,CVX,156.34,1.8878734959917474,6,Overnight drift,RSI,MA(20),GARCH vol
2025-08-19,MPC,MPC,165.3,1.8878734959917474,6,Overnight drift,RSI,MA(20),GARCH vol
2025-08-19,SCHW,SCHW,97.99,1.8878734959917474,6,Overnight drift,MA(20),RSI,MA(5)
2025-08-19,TXN,TXN,197.49,1.6304766141103655,6,Overnight drift,MA(20),MACD,RSI
2025-08-19,UNH,UNH,315.34,1.6304766141103655,6,Overnight drift,MA(20),MA(5),Vol(5)
2025-08-19,CRM,CRM,248.93,1.3560453202191638,3,RSI,MACD,MA(20),MA(5)
2025-08-19,LLY,LLY,719.15,1.5017781731696744,6,RSI,Overnight drift,MA(20),MACD
2025-08-19,ADI,ADI,234.75,1.3730797322289834,6,Overnight drift,RSI,MA(20),MA(5)
2025-08-19,MDT,MDT,90.32,1.3730797322289834,6,RSI,Overnight drift,Prev intraday,GARCH vol
2025-08-19,C,C,95.11,1.1645941461874159,4,MA(20),Overnight drift,MA(5),RSI
2025-08-19,ELV,ELV,313.86,1.2443812912882923,6,GARCH vol,RSI,Overnight drift,MA(20)
2025-08-19,MU,MU,124.57,1.205894550556623,5,MA(20),MA(5),Overnight drift,Prev intraday
2025-08-19,XOM,XOM,107.87,1.2443812912882923,6,Overnight drift,RSI,Prev intraday,MA(20)
2025-08-19,ITW,ITW,263.0,1.1156828503476013,6,Overnight drift,RSI,MA(20),Bollinger %B
2025-08-19,LOW,LOW,258.62,1.1156828503476013,6,RSI,MA(5),Overnight drift,MA(20)
2025-08-19,MMC,MMC,209.97,1.1156828503476013,6,Overnight drift,RSI,MA(5),Bollinger %B
2025-08-19,AMP,AMP,510.43,0.9869844094069102,6,RSI,Overnight drift,MACD,MA(20)
2025-08-19,COST,COST,988.66,0.9869844094069102,6,Overnight drift,RSI,MA(5),Prev intraday
2025-08-19,KR,KR,70.62,0.8828895144422597,3,Overnight drift,RSI,Prev intraday,MA(20)
2025-08-19,XYL,XYL,142.64,0.9869844094069102,6,Overnight drift,RSI,Vol(5),MA(5)
2025-08-19,AVGO,AVGO,305.05,0.8582859684662193,6,Overnight drift,MA(20),RSI,Prev intraday
2025-08-19,BIIB,BIIB,137.39,0.7646005629980337,3,RSI,MA(20),MA(5),Overnight drift
2025-08-19,CAT,CAT,423.96,0.8582859684662193,6,MA(20),RSI,Overnight drift,MA(5)
2025-08-19,DG,DG,113.51,0.726465480356114,2,Overnight drift,GARCH vol,MA(20),RSI
2025-08-19,EIX,EIX,56.26,0.8582859684662193,6,Overnight drift,Bollinger %B,RSI,MACD
2025-08-19,HD,HD,406.71,0.8582859684662193,6,RSI,MA(5),MA(20),Bollinger %B
2025-08-19,NOW,NOW,892.03,0.6805939609884603,1,MA(20),MA(5),Overnight drift,RSI
2025-08-19,AMGN,AMGN,294.82,0.7039297003710819,5,Overnight drift,RSI,MA(20),Prev intraday
2025-08-19,HON,HON,217.33,0.7295875275255282,6,Overnight drift,MACD,MA(20),RSI
2025-08-19,IDXX,IDXX,642.2,0.7295875275255282,6,MA(5),RSI,MA(20),MACD
2025-08-19,SO,SO,93.47,0.6124137603165458,2,RSI,Overnight drift,MA(5),Prev intraday
2025-08-19,SYY,SYY,80.12,0.7295875275255282,6,Overnight drift,Prev intraday,RSI,Bollinger %B
2025-08-19,UNP,UNP,222.8,0.6763960974582772,4,RSI,MA(20),MA(5),Overnight drift
2025-08-19,AAPL,AAPL,231.56,0.6008890865848372,6,Overnight drift,MA(20),MA(5),RSI
2025-08-19,AMD,AMD,174.5,0.4983620402769776,2,MA(5),Overnight drift,MA(20),Prev intraday
2025-08-19,AON,AON,369.92,0.622060727021845,7,RSI,Overnight drift,MA(5),Prev intraday
2025-08-19,AOS,AOS,72.44,0.4983620402769776,2,RSI,Overnight drift,MA(5),MA(20)
2025-08-19,CB,CB,275.64,0.622060727021845,7,RSI,Overnight drift,MA(5),Prev intraday
2025-08-19,D,D,60.78,0.622060727021845,7,RSI,Overnight drift,Prev intraday,GARCH vol
2025-08-19,NVDA,NVDA,183.31,0.622060727021845,7,MA(5),MA(20),RSI,GARCH vol
2025-08-19,QCOM,QCOM,158.98,0.622060727021845,7,Overnight drift,RSI,MA(5),Prev intraday
2025-08-19,WEC,WEC,107.49,0.6008890865848372,6,RSI,Overnight drift,MA(5),Bollinger %B
2025-08-19,DE,DE,493.47,0.4322970730937079,4,Overnight drift,GARCH vol,MA(20),MACD
