Date,Close_HSI_Hang_Seng,Close_HSI_Nikkei_225,Close_N225_Hang_Seng,Close_N225_Nikkei_225,HSI_Pct_Change,N225_Pct_Change,Asian_Avg_Pct_Change,Close_HSI,Close_N225
2021-01-04,27472.8105,,,27258.3809,,,,,
2021-01-05,27649.8594,,,27158.6309,0.6445,-0.3659,0.1393,,
2021-01-06,27692.3008,,,27055.9395,0.1535,-0.3781,-0.1123,,
2021-01-07,27548.5195,,,27490.1309,-0.5192,1.6048,0.5428,,
2021-01-08,27878.2207,,,28139.0293,1.1968,2.3605,1.7786,,
2021-01-11,27908.2207,,,,0.1076,0.0000,0.0538,,
2021-01-12,28276.7500,,,28164.3398,1.3205,0.0899,0.7052,,
2021-01-13,28235.5996,,,28456.5898,-0.1455,1.0377,0.4461,,
2021-01-14,28496.8594,,,28698.2598,0.9253,0.8493,0.8873,,
2021-01-15,28573.8594,,,28519.1797,0.2702,-0.6240,-0.1769,,
2021-01-18,28862.7695,,,28242.2109,1.0111,-0.9712,0.0200,,
2021-01-19,29642.2793,,,28633.4609,2.7007,1.3853,2.0430,,
2021-01-20,29962.4707,,,28523.2598,1.0802,-0.3849,0.3477,,
2021-01-21,29927.7598,,,28756.8594,-0.1158,0.8190,0.3516,,
2021-01-22,29447.8496,,,28631.4492,-1.6036,-0.4361,-1.0198,,
2021-01-25,30159.0098,,,28822.2891,2.4150,0.6665,1.5408,,
2021-01-26,29391.2598,,,28546.1797,-2.5457,-0.9580,-1.7518,,
2021-01-27,29297.5293,,,28635.2109,-0.3189,0.3119,-0.0035,,
2021-01-28,28550.7695,,,28197.4199,-2.5489,-1.5289,-2.0389,,
2021-01-29,28283.7109,,,27663.3906,-0.9354,-1.8939,-1.4146,,
2021-02-01,28892.8594,,,28091.0508,2.1537,1.5459,1.8498,,
2021-02-02,29248.6992,,,28362.1699,1.2316,0.9651,1.0984,,
2021-02-03,29307.4609,,,28646.5000,0.2009,1.0025,0.6017,,
2021-02-04,29113.5000,,,28341.9492,-0.6618,-1.0631,-0.8625,,
2021-02-05,29288.6797,,,28779.1895,0.6017,1.5427,1.0722,,
2021-02-08,29319.4707,,,29388.5000,0.1051,2.1172,1.1112,,
2021-02-09,29476.1895,,,29505.9297,0.5345,0.3996,0.4670,,
2021-02-10,30038.7207,,,29562.9297,1.9084,0.1932,1.0508,,
2021-02-11,30173.5703,,,,0.4489,0.0000,0.2245,,
2021-02-12,,,,29520.0703,0.0000,-0.1450,-0.0725,,
2021-02-15,,,,30084.1504,0.0000,1.9108,0.9554,,
2021-02-16,30746.6602,,,30467.7500,1.8993,1.2751,1.5872,,
