Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,BRK-B,UNH,JPM,V,LLY,XOM,MA,AVGO,JNJ,HD,PG,MRK,COST,ABBV,ADBE,PEP,CRM,NFLX,CVX,WMT,ACN,AMD,MCD,KO,BAC,TMO,INTC,LIN,AMGN,TXN,NEE,PFE,HON,MS,UNP,QCOM,PM,GS,NOW,VRTX,BKNG,LOW,RTX,ISRG,LMT,IBM,SBUX,GE,CAT,BLK,DE,ADI,MDT,ORCL,INTU,CSCO,MU,ADSK,PANW,SNPS,CDNS,FTNT,ZM,REGN,BMY,GILD,BIIB,DHR,CI,ELV,ZBH,IDXX,HCA,SCHW,AXP,C,TFC,SPGI,ICE,CB,AON,MMC,AMP,SLB,COP,EOG,PSX,MPC,OKE,WMB,KMI,HAL,FANG,TGT,DG,ROST,DLTR,KHC,SYY,KR,CL,MNST,CHD,ETN,EMR,ROP,PH,ITW,ROK,FAST,PCAR,XYL,AOS,SO,D,DUK,AEP,EXC,PEG,ED,WEC,EIX,XEL
2021-01-04,126.24,209.62,13.08,159.33,85.79,267.47,243.26,228.45,326.36,111.09,210.79,157.63,34.53,342.13,38.39,137.64,236.50,122.46,67.13,360.70,87.37,485.34,126.08,218.40,522.86,70.03,45.83,239.90,92.30,189.73,46.06,26.90,466.43,44.90,243.20,196.61,143.02,66.26,29.35,189.90,59.01,183.72,134.78,65.18,237.75,526.83,229.43,2136.99,147.00,61.52,266.67,304.89,97.52,93.40,51.13,166.11,636.55,252.48,134.81,102.24,59.57,360.88,38.47,72.32,296.84,58.61,254.70,135.76,29.11,359.98,481.53,51.63,50.28,242.95,194.21,190.22,300.85,143.47,491.77,157.22,49.71,111.25,50.94,38.22,320.87,106.88,139.99,198.25,105.90,175.40,20.03,33.63,39.55,58.54,36.13,28.82,15.98,10.36,17.45,40.18,158.25,195.97,111.27,106.94,27.97,64.00,29.18,75.47,45.30,82.16,109.75,70.90,408.39,249.98,183.22,227.92,20.10,47.80,94.58,49.78,49.93,60.67,75.03,69.00,25.04,47.89,60.05,77.71,49.26,56.90
2021-01-05,127.80,209.82,13.37,160.93,86.48,269.49,245.04,227.47,321.97,111.69,207.65,158.41,36.20,338.17,38.65,139.26,238.41,123.25,67.25,356.51,88.27,485.69,126.46,219.60,520.80,71.92,45.59,241.27,92.77,190.87,45.55,27.11,472.27,45.75,247.02,197.56,144.07,66.75,29.65,190.36,60.02,185.97,138.35,65.89,243.07,531.97,228.58,2160.68,147.49,62.41,268.35,308.56,99.25,93.71,52.60,167.46,639.92,258.74,137.22,103.06,58.83,358.13,38.49,75.46,301.70,58.36,258.89,136.14,28.35,360.83,482.12,51.77,50.19,246.39,199.03,188.10,297.57,145.95,497.26,158.54,49.72,111.84,52.26,38.48,316.25,107.11,140.10,198.01,105.17,174.37,21.11,35.56,42.77,60.11,37.32,30.26,16.46,10.62,18.91,44.06,160.69,193.18,111.36,107.13,27.43,64.41,28.97,75.64,45.71,81.42,110.91,72.12,408.03,255.61,183.85,228.47,20.37,48.21,94.47,50.10,50.26,59.94,75.06,68.90,25.00,47.89,59.37,77.46,49.52,56.35
2021-01-06,123.50,204.38,12.58,156.92,85.63,261.87,251.99,230.27,335.48,116.93,205.82,156.51,37.12,338.29,38.41,140.57,239.77,124.54,68.31,351.08,87.51,466.31,124.91,214.27,500.49,74.24,45.88,243.91,90.33,190.44,44.11,28.80,479.67,46.20,255.13,202.32,144.78,70.02,29.40,193.83,63.63,189.86,137.22,65.98,256.19,507.25,226.65,2221.64,149.47,63.19,264.26,307.89,101.73,94.39,55.48,176.78,658.17,273.91,137.84,104.74,58.69,350.49,38.86,75.31,302.87,57.55,249.70,130.64,27.62,344.41,468.79,51.90,51.82,247.75,205.63,193.65,310.05,150.11,483.60,163.87,54.09,115.98,55.27,40.50,316.64,109.18,146.77,200.41,105.89,184.37,22.28,36.98,43.67,59.66,38.08,30.61,17.09,10.97,19.29,46.24,168.31,201.20,116.23,112.97,27.73,67.27,29.26,73.60,45.35,81.54,116.86,74.55,412.14,263.91,188.55,239.10,20.71,50.11,98.45,51.83,51.48,61.22,76.03,69.45,25.81,48.90,60.64,78.44,50.99,57.59
2021-01-07,127.71,210.19,13.31,158.11,88.19,267.27,272.01,232.88,340.86,120.77,206.97,157.95,37.41,340.97,40.03,141.05,238.60,123.38,69.67,349.09,88.44,477.74,124.51,216.09,508.89,74.58,45.87,246.21,95.16,191.32,43.62,29.44,494.62,47.18,254.39,202.99,148.06,70.79,29.55,194.15,64.72,192.50,141.32,66.36,261.66,511.41,232.90,2211.81,150.05,62.74,269.40,303.04,101.50,93.62,55.04,177.12,672.01,282.75,143.67,104.60,59.16,357.90,39.35,77.27,315.20,60.52,258.84,137.05,28.65,342.50,479.87,52.45,52.30,250.44,208.55,203.88,318.61,149.22,495.19,166.79,55.64,115.06,55.92,41.71,316.85,109.25,145.72,200.20,105.74,186.60,22.71,37.99,46.50,60.20,39.16,31.28,17.12,11.15,18.86,46.63,170.25,203.45,115.97,114.75,27.53,67.31,28.90,73.20,46.75,80.55,119.30,74.59,419.68,264.39,188.75,240.01,20.97,49.88,102.92,52.46,51.42,59.90,75.18,67.60,25.56,48.20,59.41,75.89,50.53,56.47
2021-01-08,128.82,211.48,13.24,159.13,89.36,266.11,293.34,234.03,339.33,120.91,208.56,158.50,37.83,344.86,40.24,140.76,241.13,123.33,68.85,351.01,88.91,485.10,126.01,220.11,510.40,75.29,45.87,247.11,94.58,194.83,44.59,29.14,506.45,46.69,254.09,206.87,150.90,72.43,29.61,191.80,64.99,198.02,142.17,66.45,260.25,529.64,237.00,2252.98,151.28,62.81,272.92,297.33,101.13,95.73,55.38,177.15,677.41,277.26,144.71,105.49,59.45,364.14,39.43,75.62,319.85,61.09,262.80,136.19,29.63,349.61,497.36,52.56,52.74,252.54,211.84,204.16,318.32,148.89,513.20,165.53,55.57,115.18,55.37,41.03,314.71,110.96,145.29,198.90,105.87,187.93,22.67,37.99,46.70,59.24,38.29,30.69,16.93,11.07,18.64,46.60,172.48,201.67,116.34,112.97,27.47,69.05,28.73,73.69,47.49,81.02,117.26,74.36,420.19,263.73,188.48,242.10,21.41,49.54,101.88,51.84,51.79,60.10,75.31,67.00,25.67,49.24,59.43,75.62,50.73,56.99
2021-01-11,125.82,209.42,13.58,155.71,87.29,255.44,270.40,233.43,336.86,122.71,206.08,177.10,38.98,339.36,40.25,140.17,243.05,122.49,70.48,345.38,90.36,474.24,124.18,216.35,499.10,75.72,46.07,243.54,97.25,193.35,43.83,29.62,507.49,46.59,251.40,206.07,151.03,71.15,30.12,190.27,65.69,196.69,141.69,65.83,263.62,523.06,234.64,2193.46,152.44,62.76,271.22,298.73,101.17,94.76,55.92,176.78,686.57,278.22,146.15,104.43,59.12,362.08,39.70,76.84,317.81,60.80,260.43,134.69,29.63,337.71,501.53,54.65,52.29,267.52,212.39,203.35,319.92,148.94,506.55,164.65,56.76,114.50,56.27,41.26,307.34,110.98,144.11,195.90,105.04,187.95,22.81,38.55,47.28,60.54,38.65,31.69,17.10,11.26,19.06,47.87,173.98,201.15,114.88,112.43,26.84,69.05,28.85,73.51,46.47,80.57,117.33,75.09,427.43,266.89,187.68,242.83,21.29,49.78,100.59,52.53,51.48,59.67,74.68,66.66,25.46,48.96,58.41,74.77,50.22,55.81
2021-01-12,125.64,206.96,13.45,156.04,86.35,249.72,283.15,233.03,333.71,124.64,202.18,170.30,39.84,334.21,40.57,139.08,247.62,121.78,68.90,345.56,90.99,471.65,123.60,213.65,494.25,77.16,46.60,241.72,95.36,190.98,43.75,30.15,493.08,48.13,250.54,205.22,151.90,71.20,29.65,190.75,65.47,197.86,140.18,64.83,271.14,513.21,229.38,2168.84,154.89,64.30,262.81,302.42,101.67,93.14,57.53,180.14,696.48,284.98,146.88,103.36,58.55,355.59,40.07,77.61,320.13,61.75,258.58,133.72,30.58,356.81,504.36,55.03,51.93,267.39,209.40,208.25,316.15,149.72,496.73,165.49,57.66,115.03,56.47,42.32,304.13,111.18,146.42,196.24,105.43,190.72,23.86,40.30,49.53,61.77,40.41,33.44,17.83,11.62,20.51,51.62,177.38,204.07,115.15,114.18,26.29,69.78,28.63,73.61,46.99,79.57,118.61,76.31,419.11,270.40,188.82,245.49,21.77,50.48,100.41,54.26,49.47,58.73,74.38,65.87,25.59,49.28,57.72,73.32,50.91,54.94
2021-01-13,127.68,208.32,13.50,158.29,86.84,250.27,284.80,234.51,331.53,124.76,202.65,176.68,40.29,337.53,40.74,138.87,245.58,121.97,68.28,348.17,93.20,472.05,124.62,216.28,507.79,77.09,46.12,241.31,91.78,191.42,43.79,29.97,495.98,51.48,251.59,206.22,151.12,73.07,29.39,189.05,65.26,196.02,142.88,64.95,271.79,521.71,227.10,2155.10,155.66,63.39,270.48,305.64,99.87,93.21,56.50,178.64,698.28,284.16,146.32,104.62,58.21,354.90,39.70,78.05,314.33,60.97,257.14,134.12,29.58,364.63,510.49,54.44,51.48,266.67,208.66,206.94,312.04,152.64,497.58,163.79,56.07,115.76,56.63,42.18,300.46,111.16,146.90,200.53,105.87,189.34,23.24,39.97,47.97,60.12,39.30,33.59,17.68,11.69,19.99,50.53,175.35,203.92,113.25,112.47,26.15,67.79,29.06,73.82,45.94,80.15,115.90,75.10,402.70,268.96,186.92,242.67,21.39,50.19,99.82,53.84,50.22,59.31,76.58,66.13,26.03,50.42,59.15,75.54,51.47,56.34
2021-01-14,125.75,205.12,13.16,156.37,86.03,244.30,281.67,235.02,327.32,125.49,195.40,177.81,41.86,318.63,40.82,141.29,240.46,120.67,68.14,343.81,93.60,463.27,123.89,213.73,500.86,78.94,45.97,239.35,90.79,188.18,42.98,30.45,491.24,53.56,247.79,209.62,151.38,73.68,29.30,190.50,66.04,195.62,145.99,64.92,276.21,514.34,226.12,2155.26,156.17,63.78,265.71,307.37,101.48,92.24,56.94,180.01,665.81,285.70,147.22,103.78,57.78,355.44,39.51,79.41,311.11,60.53,257.91,135.40,29.51,383.24,516.48,55.53,52.20,280.29,205.93,204.14,304.57,152.33,488.90,161.67,55.90,117.07,58.45,43.04,294.81,109.07,145.69,200.26,104.48,192.96,23.69,40.69,49.68,62.11,40.36,34.40,18.04,11.95,20.16,50.85,176.41,199.27,111.27,109.97,26.21,67.23,30.10,73.33,45.68,80.18,115.17,75.74,397.10,273.56,185.28,242.97,21.23,50.36,100.12,53.01,49.66,58.31,76.66,66.70,25.89,49.65,58.18,74.68,50.19,55.08
2021-01-15,124.03,204.76,12.82,155.21,85.87,249.99,275.39,233.49,328.04,123.24,195.14,181.70,39.85,315.05,40.25,140.98,246.96,119.76,69.14,343.63,92.67,458.08,123.57,211.29,497.98,76.13,45.24,238.09,88.21,189.45,42.52,29.57,497.40,52.05,242.53,212.94,149.16,73.24,29.26,188.09,64.98,196.02,142.58,64.73,270.06,513.76,225.55,2092.70,157.05,62.22,259.47,307.22,101.02,92.70,55.33,177.48,651.72,278.67,145.64,102.94,57.95,360.79,39.76,78.84,308.51,60.81,258.92,134.64,29.31,384.53,516.50,55.97,52.98,275.84,205.98,202.40,308.26,149.99,489.46,162.15,55.35,115.53,54.40,42.10,294.58,108.66,145.10,201.52,104.34,194.20,22.73,38.35,47.24,60.10,39.00,33.95,17.88,11.83,19.22,48.64,173.55,197.58,111.17,108.34,26.14,67.29,30.61,73.27,45.83,80.87,113.83,75.20,401.20,267.97,183.28,236.36,21.29,49.74,98.20,52.46,50.18,59.18,77.04,68.09,26.37,51.02,59.14,76.26,50.38,56.29
