Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,BRK-B,UNH,JPM,V,LLY,XOM,MA,AVGO,JNJ,HD,PG,MRK,COST,ABBV,ADBE,PEP,CRM,NFLX,CVX,WMT,ACN,AMD,MCD,KO,BAC,TMO,INTC,LIN,AMGN,TXN,NEE,PFE,HON,MS,UNP,QCOM,PM,GS,NOW,VRTX,BKNG,LOW,RTX,ISRG,LMT,IBM,SBUX,GE,CAT,BLK,DE,ADI,MDT,ORCL,INTU,CSCO,MU,ADSK,PANW,SNPS,CDNS,FTNT,ZM,REGN,BMY,GILD,BIIB,DHR,CI,ELV,ZBH,IDXX,HCA,SCHW,AXP,C,TFC,SPGI,ICE,CB,AON,MMC,AMP,SLB,COP,EOG,PSX,MPC,OKE,WMB,KMI,HAL,FANG,TGT,DG,ROST,DLTR,KHC,SYY,KR,CL,MNST,CHD,ETN,EMR,ROP,PH,ITW,ROK,FAST,PCAR,XYL,AOS,SO,D,DUK,AEP,EXC,PEG,ED,WEC,EIX,XEL
2021-01-04,143301900,37130100,560640000,88228000,37324000,15106100,145914600,7404900,4203800,16819900,10318300,3164800,27764700,4638400,24171000,11765900,5002000,8330900,10502637,3322200,9523400,3612900,7486900,10319900,4444400,9234900,32182200,2505100,51802600,4055400,25611100,51483900,2220400,46102500,1741300,3088200,4659900,9388400,33565700,2328900,14014600,2642400,9827000,5389400,3572000,1889200,2117700,334000,7243400,7660500,1781700,1887200,5417443,8041500,16040798,4078300,623600,2800000,2496600,4579200,11249900,1839800,24392500,31155900,1406900,8480400,979700,2502000,5391000,8598300,911100,12429600,15520000,1563400,3601140,2614200,1197800,1265870,472300,1617000,8650000,3472100,21286200,6314900,3231000,2726500,1799100,1702200,1671400,587800,8743400,8597600,4406500,2714200,4174100,3516300,10902400,17131700,8898700,2820800,3463100,2036700,2315600,1664800,5824100,2497300,11297100,3506000,6013200,1355500,1947800,2227700,437100,615300,1418100,887000,7152200,2526300,814700,1484700,4774300,2975500,2683700,3232900,7057107,3856800,2488700,1532900,1628200,3197100
2021-01-05,97664900,23823000,322760000,53110000,20360000,9871600,96735600,5524900,3160500,13731200,6869700,2322600,44035100,2990700,15069000,9602300,3822600,6856400,10956526,2748400,6823800,2010100,4126000,8657200,3133900,13414800,26498100,1809200,34208000,2576100,20323800,48507000,2046700,24866600,1620000,2494000,4734100,7339800,29909400,2172100,11120400,2127300,8507200,5282700,4207100,1544200,1730500,348200,3911900,6436800,1363800,1479100,6395872,5721900,16793346,2933700,431400,1829200,1513700,3395200,11005700,1117700,17763700,33418200,1636900,6180600,791800,1634100,6130000,4983500,797700,11584600,13251100,1166300,4187023,1768400,996400,998894,356000,1142300,7995700,2112700,20213100,6814200,2012800,2286200,946900,1546700,1137900,560900,16256600,12393600,5624100,3907000,5869100,3416700,9363900,18693000,15912300,6028500,4843300,1781100,1994200,1620900,9052900,1662600,9001500,2559300,5060200,1646300,1217200,2687600,514900,621300,1012700,683100,5332000,1727250,1005200,755000,3905200,3466900,2547400,2212300,5563557,2882500,2192600,1584200,1216000,1976800
2021-01-06,155088000,35930700,580424000,87896000,46588000,24354100,134100000,9009400,6561400,24909100,7206200,3619700,36484800,3966800,17226000,8230100,3949200,10578000,10521396,2661400,11017500,4156600,4843300,9789800,5346200,13916800,21918900,2535600,51911700,3083400,38724500,107002800,2112300,36809600,2586600,3754800,5254400,12155700,34962500,2747900,18334300,2512400,7174600,6376600,6383500,1969800,2306700,393400,4937000,8753800,2071200,1897500,8322708,5017200,26400690,8034700,730700,2778300,2498200,4493900,8685400,1537600,21823100,22390900,1557700,6739200,854400,2299200,6531000,7124600,1434700,12426200,12222500,1279100,4472971,3488700,1861400,1424799,634000,3093800,16551800,5861500,38106600,12915600,1638300,2581600,1718800,1732100,2122600,736400,19456300,11035300,6350800,5097800,6819900,3329000,10285000,22181300,16165100,4451400,5610100,2648100,1578300,3097300,6754300,3641900,11872200,9053900,7577800,1439500,3083000,3791000,711700,861200,1243800,901800,7418800,3052950,1015300,1386900,4102500,4112100,2823000,2713900,8847461,2320500,2417200,1624200,1745200,2667000
2021-01-07,109578200,27694500,461480000,70290000,41936000,15789800,154496700,4691600,3366700,21940400,10967900,3025500,29528100,3100200,21267000,7747200,3833200,7355400,10447931,2849500,8196000,2901200,4473200,8443100,3686400,9286600,20538000,2068200,42897200,3142000,53225700,74358500,2144400,32092300,1757800,2647800,5673600,8816000,27809500,2057300,13530400,2023000,8482300,4824300,4009700,1869600,1503800,299700,4144100,8771400,1285500,2048900,4714740,5057000,15105891,5297500,656000,2227300,2661100,3908900,7382800,1109000,18218800,27945300,1527600,8318400,743500,1639700,6856000,5601200,1126600,10931900,10614700,1118600,4168186,2812200,1418300,1237648,499500,2094100,10949600,8696600,24161000,8188400,1856700,2357800,1410100,1356300,2612300,585900,14502400,9648200,5715300,2568200,6420500,2952000,8601600,17189100,13680500,3259900,4226700,1519000,1463800,2508400,6487800,4195100,9479300,5061000,6040800,1632300,2585300,2435600,441000,856100,986200,587300,5908200,2577900,1539300,1073000,4690300,4126600,2989500,2764400,7322786,2791700,3066400,1555000,1556600,2630400
2021-01-08,105158200,22956200,292528000,70754000,35484000,18528300,225166500,4850400,2947800,12035100,6513000,3438100,28628200,3371500,15271000,8228900,3757700,7448500,9563105,2599700,5345900,2266100,4312000,7301700,2973900,11152100,24478200,2010700,39816400,2639100,29674000,44641400,2221700,34625400,1879300,2511100,4556500,8376200,33462400,3278900,12896700,3922900,6252400,4035600,2800800,1594900,1231200,310500,4971200,5158100,1428600,3226300,4891305,5869700,14590235,3186600,622900,1781000,4204900,3529900,7751700,1259100,20936300,51272100,1196700,6849000,630400,2049400,6301000,5009200,1018800,10010500,8389800,988700,2591467,2346000,1384100,1259072,401400,1063600,9165300,2934500,20747800,4703200,1493900,2405600,1287700,1294500,2439400,545400,11951900,9448700,5804100,2683600,5255000,3470400,13048500,18581700,8343300,2749400,3321500,1859200,1755100,1928200,6226300,3682900,9175400,5569300,6277600,1722600,2695400,2156900,310500,1279700,861400,700900,7554200,1901250,1632200,804000,3965800,3476800,2752100,3059800,6425086,2925800,2504100,1488600,1430500,2221500
2021-01-11,100384500,23031300,518344000,73668000,34796000,30412300,177904800,3882000,2695100,15937900,7353100,11396500,38246200,2403000,11660000,7066200,3764400,7239900,13488179,2562500,6334200,2382400,3902700,7199000,3806200,10635000,26264400,1745100,48600200,2545400,19304400,51868200,1669600,32925000,1913200,2600500,4553100,7064300,47286900,2938900,9077500,2969500,5147800,4698000,2649700,1286500,2263100,320600,3005200,4569000,1644600,3196400,5859587,4257400,13493535,2540800,614400,1303700,2609400,3712700,6284700,1514900,25058200,19920800,1232900,4766400,533300,2332800,6874500,3360400,1115300,18185700,11316700,2999200,1738474,1154500,942100,1237751,441000,854900,8766100,3311000,20454000,5008800,1545600,1857300,1471200,1187000,1998900,855100,16877000,10839600,5665600,4944300,4222600,2948300,5131900,24839100,11405600,2167500,7219100,1605000,1856200,2144600,8799500,3023800,8842200,4430800,3017600,893300,1490100,1749700,697400,753600,995400,578700,4518000,1252800,1285100,749900,2873300,2949800,2193700,2359600,7070146,2500900,2773100,878300,971200,2100400
2021-01-12,91951100,23249300,291476000,70292000,29528000,26383500,138812100,5616600,2372500,18033500,9331600,7179300,36915100,4858100,13846000,6903200,4030900,6333500,10128606,2387600,6106900,2964900,5150000,10736000,5990400,10923900,23373300,1898200,67672300,2952000,18538700,68166200,2039000,39883900,1785200,1771500,3406600,7669300,47831100,2498800,11831100,3226000,4385700,5300300,4814400,1173000,1816900,259400,4036900,5356200,1903800,3002200,3921663,4332600,18346073,2466100,675900,1952300,2573800,3213100,7758200,1242200,20145000,18231000,859500,4238400,560200,1338600,8461500,8934400,1264100,15757500,9115100,1097200,2499648,2124400,906500,1212310,353200,982800,12194500,2671300,20162800,4739300,2271500,2775200,1064900,1835500,2027600,733300,20803200,13013700,5489300,2648600,10484700,3423700,10469600,24215900,15816300,4213900,3866700,2155900,1581200,1482200,10999400,3281400,10568400,4359800,5388400,1611300,1479700,2646300,542000,741500,971500,446300,6748400,1445850,1292100,1028600,7012200,3801200,2860700,3122500,7343396,2356000,2766500,1159200,2531900,2765100
2021-01-13,88636800,20087100,210028000,66424000,23432000,19528900,99937500,3827500,1974500,14816800,6688500,7303900,29000300,4125700,13118000,6643100,3921400,6078800,10093812,1968800,9821300,2105900,4361600,6839200,5032100,9723300,16069500,1870700,60712900,2069800,18864100,43172800,1410200,124070700,1518800,1412300,2953900,8542600,31027900,2145100,9852200,1466000,5479900,5280200,2413800,1076700,1809600,239600,3291800,7032600,2550000,1648100,8030874,4804500,10776915,3154700,848600,1203800,2622900,4070900,8298000,1019500,19367300,15067700,1182000,7467000,700800,1155300,6425000,14056500,1333800,10292400,6822600,943300,3674686,1417600,911600,1725662,299600,862400,17171700,3678300,18541900,4780800,1936900,2394500,1113100,2229700,1498700,462600,11276800,11839900,3792200,2520600,7234600,2668200,7347400,18002100,10586600,2484200,4098200,1169400,1300400,1229500,6137600,2262000,8671800,4069400,6745200,1657800,2344100,2189200,703400,872700,612300,407300,6633400,1736400,1132800,909700,3949500,4364100,3592500,7424900,6263155,2677500,1930600,1310600,997700,2656300
2021-01-14,90221800,29480800,283120000,61418000,29212000,29739400,93798900,4528700,2919900,18565600,12887500,4413200,35474800,8712200,19692000,10030800,4641400,6172800,11366398,2363900,8268800,3508300,4724700,6548000,4177400,13950200,23017200,2253200,53408200,3666700,34303600,48483500,1426700,74680900,1903400,2594000,3416300,8899000,30272000,3661500,9854300,1720000,10102400,5504700,3192200,1448700,1727800,273100,4090900,9712500,1460400,1965600,7848347,4528300,11879594,2486600,1642900,1370800,2028100,4281600,10258600,1146200,22333500,17639300,1269700,4861800,563000,1490800,4193500,9311000,848600,12479800,8694800,1520400,2333494,1175700,1320700,1180071,333900,1489400,9165800,3404700,29108900,6217300,1910400,2626300,934900,1404700,1358300,749600,10285800,12857900,3732300,3028700,8816200,3518000,15296100,18079800,10215400,3008600,3321200,2568700,2574100,1996000,8530300,2659600,20648100,3732500,4772200,1034800,4047400,1883200,683100,557900,724500,376100,4419600,1377150,916500,1096800,3776700,3461300,3097300,8042700,6068557,1894100,4223300,1134200,1374000,1750100
2021-01-15,111598500,31746500,277780000,84880000,31444000,24942900,116332800,5225000,3777000,27881000,8755000,6624600,42411300,7911500,18165000,7630800,5131700,7757600,10203538,2340400,9196200,3200400,4309100,8525600,5895800,10244600,35920500,1915100,49340300,3593700,24366800,57684300,1892600,50265400,1955300,2855200,3734600,10561600,34287800,3887500,12882600,2325200,8607400,4492200,3863700,1083700,2241900,340800,3727200,6980800,2317800,1853100,5131153,5522900,14768762,3317100,1174500,1766300,2338000,5659500,7532600,1597800,30271700,14322600,1248300,4871400,624200,1126800,4314000,12799500,796900,11296500,9361900,1765000,2932236,1462500,1166600,1451476,340900,1111800,9952400,3948200,38295300,4901700,2701800,2586600,1436300,1783200,2533300,665100,13449000,30004600,4933100,3413700,7719000,2775300,10453400,16167600,12252400,2840000,4289900,1795700,1425700,1881900,6975000,2049700,14722600,6359600,6141400,1961600,2590400,2926900,1019200,870300,1537200,663900,5290600,1810200,1060200,1095200,4107900,3407400,2914600,4258200,7095382,3101300,2139600,1354100,1580900,3811600
